data,mp10_cupe,mp10_ipojuca,ambos_validos,diferenca_ipojuca_menos_cupe
2021-05-09,12.1526315789474,6.65695652173913,TRUE,-5.49567505720827
2021-05-10,10.3089473684211,6.98727272727273,TRUE,-3.32167464114837
2021-05-11,7.48619047619048,7.01833333333333,TRUE,-0.46785714285715
2021-05-12,7.91272727272727,7.68916666666667,TRUE,-0.223560606060601
2021-05-13,9.46291666666667,5.33666666666667,TRUE,-4.12625
2021-05-14,6.87863636363636,6.53238095238095,TRUE,-0.34625541125541
2021-05-15,11.64375,8.11958333333333,TRUE,-3.52416666666667
2021-05-16,10.9252380952381,7.54652173913043,TRUE,-3.37871635610767
2021-05-17,12.3904545454545,5.91,TRUE,-6.4804545454545
2021-05-18,9.885,7.71260869565217,TRUE,-2.17239130434783
2021-05-19,8.91565217391304,7.01304347826087,TRUE,-1.90260869565217
2021-05-20,6.23727272727273,9.89833333333333,TRUE,3.6610606060606
2021-05-21,10.3135,10.67875,TRUE,0.365250000000001
2021-05-22,13.9725,16.0191666666667,TRUE,2.0466666666667
2021-05-23,15.4695652173913,13.1454166666667,TRUE,-2.3241485507246
2021-05-24,14.585,17.0204166666667,TRUE,2.4354166666667
2021-05-25,14.1005,14.485,TRUE,0.384499999999999
2021-05-26,15.0490476190476,11.3404166666667,TRUE,-3.7086309523809
2021-05-27,9.09652173913043,8.14913043478261,TRUE,-0.947391304347821
2021-05-28,5.475,5.76333333333333,TRUE,0.28833333333333
2021-05-29,10.2055,10.5066666666667,TRUE,0.301166666666699
2021-05-30,9.185,6.42227272727273,TRUE,-2.76272727272727
2021-05-31,11.7178260869565,7.75,TRUE,-3.9678260869565
2021-06-01,11.89,14.8491666666667,TRUE,2.9591666666667
2021-06-02,17.5478260869565,15.8454166666667,TRUE,-1.7024094202898
2021-06-03,12.4870833333333,9.085,TRUE,-3.4020833333333
2021-06-04,11.3370833333333,8.62833333333333,TRUE,-2.70874999999997
