ano,cod_estacao,no_estacao,mes,mes_nome,n_dias_calendario,n_dias_validos,pct_dias_validos,media_mensal_descritiva,mediana_mensal,desvio_padrao_mensal,cv_mensal_pct,p25,p75,p95,referencia_anual,diferenca_mensal_vs_ref,diferenca_mensal_vs_ref_pct,minimo_dias_mma,mes_representativo_mma
2022,16,SUAPE,10,Out,31,29,93.5483870967742,22.0021328834899,22.1739130434783,5.2307206700672,23.7736982035604,18.3157894736842,24.9166666666667,28.3086956521739,20.4288476896859,1.57328519380401,7.70129190692594,21,TRUE
2022,16,SUAPE,11,Nov,30,29,96.6666666666667,21.6951361981347,21.4166666666667,6.44754012012847,29.7188275807313,18.1739130434783,23.4166666666667,27.7246376811594,20.4288476896859,1.26628850844881,6.19853125190281,20,TRUE
2022,16,SUAPE,12,Dez,31,29,93.5483870967742,21.616763217928,19.25,10.3145728920958,47.7156213819347,17.8095238095238,21.0416666666667,28.6813299232737,20.4288476896859,1.1879155282421,5.81489248090019,21,TRUE
2025,12,IPOJUCA,1,Jan,31,24,77.4193548387097,24.2883905710835,24.5893630952381,5.94295709578083,24.4683033994694,19.7010625,27.7720416666667,33.5621583333333,23.3601851871563,0.928205383927207,3.97345045208608,21,TRUE
2025,12,IPOJUCA,2,Fev,28,27,96.4285714285714,21.4422805555556,20.864375,6.63249562554381,30.9318573104174,16.2780625,24.8275833333333,32.3524125,23.3601851871563,-1.91790463160074,-8.21014309704714,19,TRUE
2025,12,IPOJUCA,3,Mar,31,27,87.0967741935484,25.5421120448179,19.8325,21.7528532190011,85.1646613280532,17.1564404761905,25.9158958333334,33.0658125,23.3601851871563,2.18192685766164,9.34036626927638,21,TRUE
2025,12,IPOJUCA,4,Abr,30,30,100,28.2985444444444,29.4381458333334,5.7051752872127,20.1606669149117,23.06971875,32.3839583333333,36.35808125,23.3601851871563,4.93835925728814,21.1400689580291,20,TRUE
2025,12,IPOJUCA,5,Mai,31,28,90.3225806451613,20.8104109044934,19.8947708333334,7.05779233860781,33.9147187962727,15.9281458333333,25.3003645833333,31.8006748903509,23.3601851871563,-2.54977428266292,-10.9150431053296,21,TRUE
2025,12,IPOJUCA,6,Jun,30,24,80,20.0444903769841,18.939,5.00185091102652,24.9537444801781,16.0394479166667,24.7588571428571,27.265875,23.3601851871563,-3.31569481017217,-14.193786494446,20,TRUE
2025,12,IPOJUCA,7,Jul,31,21,67.741935483871,15.5032274909964,13.7614583333333,4.83162314294384,31.1652728165786,11.8833333333333,18.2888333333333,22.355,23.3601851871563,-7.85695769615991,-33.6339700786266,21,TRUE
2025,12,IPOJUCA,8,Ago,31,26,83.8709677419355,18.2913952991453,17.330875,5.45555447348828,29.8257972356172,14.55646875,21.1317604166667,27.8941354166667,23.3601851871563,-5.068789888011,-21.6984148344761,21,TRUE
2025,12,IPOJUCA,9,Set,30,26,86.6666666666667,25.0531346153846,23.68975,7.48512116545688,29.8769845784504,19.81125,30.6798229166667,38.3370729166667,23.3601851871563,1.69294942822831,7.24715756602441,20,TRUE
2025,12,IPOJUCA,10,Out,31,28,90.3225806451613,26.8392384187371,26.6186711956522,4.13541008245477,15.408075363151,23.7855833333334,30.21696875,32.4021458333333,23.3601851871563,3.47905323158075,14.8930892615251,21,TRUE
2025,12,IPOJUCA,11,Nov,30,22,73.3333333333333,26.0319979114453,25.8878541666667,3.38523405764439,13.0041269562181,24.0447395833334,28.4878993055556,30.4491041666667,23.3601851871563,2.67181272428898,11.4374637995506,20,TRUE
2025,12,IPOJUCA,12,Dez,31,29,93.5483870967742,25.7735866174056,25.6857916666667,3.46984502400391,13.4627945870003,24.05,28.5045833333333,31.3806333333333,23.3601851871563,2.41340143024928,10.331259837684,21,TRUE
