fonte_dados,cod_estacao,datahora_local,nome_estacao,n_registros,n_valores_distintos,valores_mm,arquivos
CEMADEN,260005402A,2025-10-06T08:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T09:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T10:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T11:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T12:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T13:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T14:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T15:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T16:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T17:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T18:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T19:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T20:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
CEMADEN,260005402A,2025-10-06T21:00:00Z,ABREU E LIMA - APAC,2,1,0,data(111).csv | data(112).csv
