fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes
CEMADEN,260170602A,G2-260170602A | G2-IFPE - Belo Jardim,BELO JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.320314,-8.320293,-36.41771,-36.417612,3695,2025-09-03T16:00:00Z,2025-12-31T23:10:00Z,2025,0,0,1504,0
CEMADEN,260170603A,G2-260170603A | G2-Garagem - Prefeitura,BELO JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.335712,-8.335706,-36.41971,-36.419691,3703,2025-09-03T14:00:00Z,2025-12-31T23:10:00Z,2025,0,0,1510,0
CEMADEN,260170604A,G2-260170604A | G2-Escola Santo Antônio,BELO JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.339078,-8.338604,-36.43384,-36.433817,3676,2025-09-03T18:10:00Z,2025-12-31T23:10:00Z,2025,0,0,1498,0
CEMADEN,260180501A,SÃO CAETANO DO NAVIO - APAC | SÃO CAETANO DO NAVIO - APAC,BETÂNIA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.182278,-8.182278,-37.981278,-37.981278,23640,2018-03-10T08:40:00Z,2025-12-28T01:30:00Z,2018;2019;2024;2025,0,0,52,0
CEMADEN,260180501U,BETANIA,BETÂNIA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.276305,-8.276305,-38.032111,-38.032111,19,2018-10-31T16:40:00Z,2018-11-01T10:00:00Z,2018,0,0,0,0
CEMADEN,260190401A,Centro,BEZERROS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.228,-8.228,-35.751,-35.751,83083,2017-01-01T03:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1536,0
CEMADEN,260190401C,BEZERROS,BEZERROS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.19425,-8.19425,-35.835138,-35.835138,22642,2017-01-15T18:20:00Z,2021-12-13T11:00:00Z,2017;2018;2019;2020;2021,0,0,0,0
CEMADEN,260200101A,Bodocó [IPA] - APAC,BODOCÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.78115,-7.78115,-39.93791,-39.93791,21211,2023-08-01T15:30:00Z,2025-12-31T23:30:00Z,2023;2024;2025,0,0,1492,0
CEMADEN,260200101C,BODOCO,BODOCÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.7785,-7.7785,-39.947138,-39.947138,11021,2017-01-10T19:50:00Z,2019-12-14T15:00:00Z,2017;2018;2019,0,0,2,0
CEMADEN,260210001A,Bom Conselho [9 BPM] - APAC,BOM CONSELHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-9.16302,-9.16302,-36.68862,-36.68862,21733,2023-08-15T16:20:00Z,2025-12-31T23:20:00Z,2023;2024;2025,0,0,1510,0
