fonte_dados,cod_estacao,nome_estacao,ano,n_registros,n_registros_com_valor,n_registros_sem_valor,n_datas_com_registro,n_meses_com_registro,inicio,fim,precipitacao_min,precipitacao_max
CEMADEN,260070801A,ALIANCA - APAC,2021,2670,2670,0,101,5,2021-06-17T18:10:00Z,2021-12-21T11:00:00Z,0,5.71
CEMADEN,260070801A,ALIANCA - APAC,2022,5307,5307,0,236,9,2022-02-14T12:10:00Z,2023-01-01T02:00:00Z,0,17.69
CEMADEN,260070801A,ALIANCA - APAC,2023,9828,9828,0,365,12,2023-01-01T03:00:00Z,2024-01-01T02:00:00Z,0,13.02
CEMADEN,260070801A,ALIANCA - APAC,2024,8962,8962,0,355,12,2024-01-01T03:00:00Z,2025-01-01T02:00:00Z,0,9.36
CEMADEN,260070801A,ALIANCA - APAC,2025,8022,8022,0,268,9,2025-01-01T03:00:00Z,2025-09-25T17:00:00Z,0,10.57
CEMADEN,260080701A,Prefeitura,2017,12778,12778,0,365,12,2017-01-01T03:00:00Z,2018-01-01T02:50:00Z,0,7.8
CEMADEN,260080701A,Prefeitura,2018,9629,9629,0,365,12,2018-01-01T03:50:00Z,2019-01-01T02:50:00Z,0,17.2
CEMADEN,260080701A,Prefeitura,2019,9435,9435,0,361,12,2019-01-01T03:50:00Z,2020-01-01T02:50:00Z,0,9.4
CEMADEN,260080701A,Prefeitura,2020,9726,9726,0,366,12,2020-01-01T03:50:00Z,2021-01-01T02:50:00Z,0,11.6
CEMADEN,260080701A,Prefeitura,2021,7618,7618,0,281,10,2021-01-01T03:50:00Z,2021-10-08T03:50:00Z,0,6.4
CEMADEN,260080701A,Prefeitura,2022,3001,3001,0,104,5,2022-04-04T19:30:00Z,2022-10-12T17:50:00Z,0,20
CEMADEN,260080701A,Prefeitura,2023,8796,8796,0,325,11,2023-02-08T15:50:00Z,2024-01-01T02:50:00Z,0,15.6
CEMADEN,260080701A,Prefeitura,2024,9230,9230,0,358,12,2024-01-01T03:50:00Z,2025-01-01T02:50:00Z,0,21.2
CEMADEN,260080701A,Prefeitura,2025,6274,6274,0,272,12,2025-01-01T03:50:00Z,2025-12-02T12:50:00Z,0,10.6
CEMADEN,260080701C,ALTINHO,2018,2581,2581,0,117,7,2018-02-20T16:00:00Z,2019-01-01T02:00:00Z,0,4.6
CEMADEN,260080701C,ALTINHO,2019,7636,7636,0,312,12,2019-01-01T03:00:00Z,2019-12-31T22:00:00Z,0,7.4
CEMADEN,260080701C,ALTINHO,2020,8568,8568,0,366,12,2020-01-01T10:00:00Z,2020-12-31T21:00:00Z,0,16.2
CEMADEN,260080701C,ALTINHO,2021,961,961,0,75,3,2021-01-01T12:00:00Z,2021-03-16T17:00:00Z,0,5.2
CEMADEN,260080701C,ALTINHO,2022,3968,3968,0,125,5,2022-04-05T15:00:00Z,2022-08-07T23:00:00Z,0,8.2
CEMADEN,260080702A,ALTINHO - APAC,2017,298,298,0,12,1,2017-12-20T10:30:00Z,2018-01-01T02:20:00Z,0,2.16
CEMADEN,260080702A,ALTINHO - APAC,2018,9507,9507,0,365,12,2018-01-01T03:20:00Z,2019-01-01T02:20:00Z,0,14.51
CEMADEN,260080702A,ALTINHO - APAC,2019,8956,8956,0,343,12,2019-01-01T03:20:00Z,2019-12-29T19:20:00Z,0,10.37
CEMADEN,260080702A,ALTINHO - APAC,2020,9369,9369,0,358,12,2020-01-01T11:30:00Z,2021-01-01T02:10:00Z,0,14.28
CEMADEN,260080702A,ALTINHO - APAC,2021,9805,9805,0,365,12,2021-01-01T03:20:00Z,2022-01-01T02:20:00Z,0,8.12
CEMADEN,260080702A,ALTINHO - APAC,2022,5369,5369,0,186,7,2022-01-01T03:20:00Z,2022-07-08T16:20:00Z,0,14.5
CEMADEN,260090601A,AMARAJI - APAC,2017,1071,1071,0,46,2,2017-11-16T19:10:00Z,2018-01-01T01:20:00Z,0,7.22
