arquivo,cod_estacao,nome_estacao,tipo_estacao,variavel,coluna_detectada,coluna_encontrada
dados_82789_H_2017-01-01_2018-03-28.csv,82789,TRIUNFO,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82789_H_2017-01-01_2018-03-28.csv,82789,TRIUNFO,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82789_H_2017-01-01_2018-03-28.csv,82789,TRIUNFO,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82789_H_2017-01-01_2018-03-28.csv,82789,TRIUNFO,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82789_H_2017-01-01_2018-03-28.csv,82789,TRIUNFO,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_82797_H_2017-01-01_2025-12-31.csv,82797,SURUBIM,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82797_H_2017-01-01_2025-12-31.csv,82797,SURUBIM,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82797_H_2017-01-01_2025-12-31.csv,82797,SURUBIM,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82797_H_2017-01-01_2025-12-31.csv,82797,SURUBIM,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82797_H_2017-01-01_2025-12-31.csv,82797,SURUBIM,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_82799_H_2017-01-01_2025-12-31.csv,82799,GOIANA,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82799_H_2017-01-01_2025-12-31.csv,82799,GOIANA,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82799_H_2017-01-01_2025-12-31.csv,82799,GOIANA,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82799_H_2017-01-01_2025-12-31.csv,82799,GOIANA,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82799_H_2017-01-01_2025-12-31.csv,82799,GOIANA,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_82886_H_2017-01-01_2025-07-01.csv,82886,CABROBO,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82886_H_2017-01-01_2025-07-01.csv,82886,CABROBO,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82886_H_2017-01-01_2025-07-01.csv,82886,CABROBO,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82886_H_2017-01-01_2025-07-01.csv,82886,CABROBO,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82886_H_2017-01-01_2025-07-01.csv,82886,CABROBO,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_82890_H_2017-01-01_2025-12-31.csv,82890,ARCO VERDE,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82890_H_2017-01-01_2025-12-31.csv,82890,ARCO VERDE,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82890_H_2017-01-01_2025-12-31.csv,82890,ARCO VERDE,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82890_H_2017-01-01_2025-12-31.csv,82890,ARCO VERDE,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82890_H_2017-01-01_2025-12-31.csv,82890,ARCO VERDE,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_82893_H_2017-01-01_2022-11-11.csv,82893,GARANHUNS,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82893_H_2017-01-01_2022-11-11.csv,82893,GARANHUNS,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82893_H_2017-01-01_2022-11-11.csv,82893,GARANHUNS,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82893_H_2017-01-01_2022-11-11.csv,82893,GARANHUNS,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82893_H_2017-01-01_2022-11-11.csv,82893,GARANHUNS,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
