cod_estacao,nome_estacao,tipo_estacao,ano,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms
82890,ARCO VERDE,CONVENCIONAL,2022,93.6073059360731,92.7853881278539,90.4109589041096,83.1963470319635,87.7625570776256
82890,ARCO VERDE,CONVENCIONAL,2023,87.1232876712329,85.4794520547945,86.6666666666667,86.9406392694064,84.5662100456621
82890,ARCO VERDE,CONVENCIONAL,2024,92.8051001821494,92.8051001821494,92.5318761384335,92.7140255009108,92.6229508196721
82890,ARCO VERDE,CONVENCIONAL,2025,83.5466179159049,82.8153564899452,83.45521023766,83.6380255941499,83.45521023766
82893,GARANHUNS,CONVENCIONAL,2017,53.3333333333333,53.4246575342466,53.3333333333333,43.013698630137,53.4246575342466
82893,GARANHUNS,CONVENCIONAL,2018,53.2420091324201,53.3333333333333,53.3333333333333,40.6392694063927,53.2420091324201
82893,GARANHUNS,CONVENCIONAL,2019,51.4155251141553,51.5068493150685,51.5068493150685,51.5068493150685,51.4155251141553
82893,GARANHUNS,CONVENCIONAL,2020,7.92349726775956,7.46812386156648,7.74134790528233,7.92349726775956,7.92349726775956
82893,GARANHUNS,CONVENCIONAL,2021,8.58447488584475,9.58904109589041,0.091324200913242,0.182648401826484,0.182648401826484
82893,GARANHUNS,CONVENCIONAL,2022,42.6906779661017,45.2330508474576,0.10593220338983,0.10593220338983,0.10593220338983
82897,TAPACURA,CONVENCIONAL,2017,0,0,0,0,0
82897,TAPACURA,CONVENCIONAL,2018,0,0,0,0,0
82897,TAPACURA,CONVENCIONAL,2019,0,0,0,0,0
82897,TAPACURA,CONVENCIONAL,2020,0,0,0,0,0
82897,TAPACURA,CONVENCIONAL,2021,0.091324200913242,0.091324200913242,0.091324200913242,0.091324200913242,0.091324200913242
82897,TAPACURA,CONVENCIONAL,2022,0.091324200913242,0,0.091324200913242,0.091324200913242,0.091324200913242
82897,TAPACURA,CONVENCIONAL,2023,0,0,0,0,0
82897,TAPACURA,CONVENCIONAL,2024,0,0,0,0,0
82897,TAPACURA,CONVENCIONAL,2025,0,0,0,0,0
82898,OLINDA,CONVENCIONAL,2017,0,0,0,0,0
82898,OLINDA,CONVENCIONAL,2018,0,0,0,0,0
82898,OLINDA,CONVENCIONAL,2019,0,0,0,0,0
82898,OLINDA,CONVENCIONAL,2020,0,0,0,0,0
82898,OLINDA,CONVENCIONAL,2021,0.091324200913242,0,0.091324200913242,0.091324200913242,0.091324200913242
82898,OLINDA,CONVENCIONAL,2022,0,0,0,0,0
82898,OLINDA,CONVENCIONAL,2023,0,0,0,0,0
82898,OLINDA,CONVENCIONAL,2024,0,0,0,0,0
82898,OLINDA,CONVENCIONAL,2025,0,0,0,0,0
82900,RECIFE (CURADO),CONVENCIONAL,2017,81.5525114155251,99.5433789954338,99.5433789954338,99.5433789954338,81.5525114155251
82900,RECIFE (CURADO),CONVENCIONAL,2018,99.4520547945206,99.4520547945206,99.4520547945206,99.4520547945206,99.4520547945206
82900,RECIFE (CURADO),CONVENCIONAL,2019,99.634703196347,99.8173515981735,99.8173515981735,99.8173515981735,99.634703196347
82900,RECIFE (CURADO),CONVENCIONAL,2020,93.844049247606,93.844049247606,93.844049247606,93.844049247606,93.844049247606
82983,PETROLINA,CONVENCIONAL,2017,94.337899543379,94.337899543379,94.337899543379,94.337899543379,94.337899543379
82983,PETROLINA,CONVENCIONAL,2018,94.2465753424658,94.2465753424658,94.2465753424658,94.1552511415525,94.2465753424658
82983,PETROLINA,CONVENCIONAL,2019,93.6986301369863,93.6986301369863,93.6986301369863,93.6986301369863,93.6986301369863
82983,PETROLINA,CONVENCIONAL,2020,96.448087431694,96.448087431694,96.448087431694,96.448087431694,96.448087431694
82983,PETROLINA,CONVENCIONAL,2021,95.7990867579909,95.6164383561644,95.5251141552512,95.7077625570776,95.7990867579909
82983,PETROLINA,CONVENCIONAL,2022,58.1735159817352,57.9908675799087,57.8995433789954,58.0821917808219,57.8995433789954
82983,PETROLINA,CONVENCIONAL,2023,80.9132420091324,80.8219178082192,80.5479452054795,80.8219178082192,80.2739726027397
82983,PETROLINA,CONVENCIONAL,2024,61.0200364298725,47.9963570127505,75.3187613843352,75.5009107468124,61.0200364298725
82983,PETROLINA,CONVENCIONAL,2025,0.0914076782449726,0,52.4680073126143,52.5594149908592,0.0914076782449726
A301,RECIFE,AUTOMATICA,2017,93.8013698630137,93.8812785388128,93.8812785388128,92.2831050228311,93.8127853881278
A301,RECIFE,AUTOMATICA,2018,94.634703196347,94.6575342465753,94.6575342465753,94.6575342465753,94.634703196347
A301,RECIFE,AUTOMATICA,2019,58.3675799086758,99.9429223744292,99.9429223744292,99.9429223744292,58.3675799086758
A301,RECIFE,AUTOMATICA,2020,9.98406193078324,99.9089253187614,99.9089253187614,99.9089253187614,9.98406193078324
A301,RECIFE,AUTOMATICA,2021,99.7750430064841,99.7882757708085,99.7882757708085,98.3459044594416,99.7750430064841
A307,PETROLINA,AUTOMATICA,2017,100,100,100,100,100
A307,PETROLINA,AUTOMATICA,2018,73.1963470319635,73.2191780821918,73.2191780821918,73.1963470319635,73.1963470319635
A307,PETROLINA,AUTOMATICA,2019,100,100,100,100,100
A307,PETROLINA,AUTOMATICA,2020,100,100,100,100,100
A307,PETROLINA,AUTOMATICA,2021,100,100,100,100,100
A307,PETROLINA,AUTOMATICA,2022,60.8219178082192,60.8219178082192,60.8219178082192,60.8219178082192,60.8219178082192
A307,PETROLINA,AUTOMATICA,2023,66.175799086758,66.1872146118722,66.1872146118722,66.1872146118722,66.175799086758
A307,PETROLINA,AUTOMATICA,2024,39.6174863387978,39.6174863387978,39.6174863387978,39.5719489981785,39.6174863387978
A307,PETROLINA,AUTOMATICA,2025,0,0,0,0,0
A309,ARCO VERDE,AUTOMATICA,2017,100,100,100,100,100
A309,ARCO VERDE,AUTOMATICA,2018,100,100,100,100,100
A309,ARCO VERDE,AUTOMATICA,2019,100,100,100,100,100
A309,ARCO VERDE,AUTOMATICA,2020,83.2422586520947,83.2422586520947,83.2422586520947,83.2422586520947,83.2422586520947
A309,ARCO VERDE,AUTOMATICA,2021,9.68036529680365,9.71461187214612,9.71461187214612,9.71461187214612,9.68036529680365
A309,ARCO VERDE,AUTOMATICA,2022,42.9794520547945,42.9908675799087,42.9908675799087,42.9908675799087,42.9794520547945
A309,ARCO VERDE,AUTOMATICA,2023,92.7625570776256,92.7739726027397,92.7739726027397,92.7739726027397,92.7625570776256
A309,ARCO VERDE,AUTOMATICA,2024,92.7823315118397,93.9549180327869,93.9549180327869,93.9549180327869,92.7595628415301
A309,ARCO VERDE,AUTOMATICA,2025,99.828708461802,99.8401278976819,99.8401278976819,99.8401278976819,99.828708461802
A322,GARANHUNS,AUTOMATICA,2017,94.337899543379,94.337899543379,94.337899543379,94.337899543379,94.337899543379
A322,GARANHUNS,AUTOMATICA,2018,81.9063926940639,81.9063926940639,81.9063926940639,81.9063926940639,81.9063926940639
A322,GARANHUNS,AUTOMATICA,2019,100,100,100,87.716894977169,100
A322,GARANHUNS,AUTOMATICA,2020,100,100,100,73.9184881602915,100
A322,GARANHUNS,AUTOMATICA,2021,63.4474885844749,63.527397260274,63.527397260274,54.9315068493151,63.4474885844749
A322,GARANHUNS,AUTOMATICA,2022,56.5639269406393,56.5639269406393,56.5639269406393,47.796803652968,56.5639269406393
A322,GARANHUNS,AUTOMATICA,2023,99.6917808219178,99.6917808219178,99.6917808219178,63.4703196347032,99.6917808219178
A322,GARANHUNS,AUTOMATICA,2024,100,100,100,57.1152094717669,100
A322,GARANHUNS,AUTOMATICA,2025,99.9657416923604,99.9657416923604,99.9657416923604,57.2913098092954,99.9657416923604
A328,SURUBIM,AUTOMATICA,2017,99.5662100456621,99.5662100456621,99.5662100456621,99.5662100456621,99.5662100456621
A328,SURUBIM,AUTOMATICA,2018,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347
A328,SURUBIM,AUTOMATICA,2019,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859
A328,SURUBIM,AUTOMATICA,2020,68.6703096539162,68.6703096539162,68.6703096539162,68.6703096539162,68.6703096539162
A328,SURUBIM,AUTOMATICA,2021,42.9794520547945,43.013698630137,43.013698630137,43.013698630137,42.9794520547945
A328,SURUBIM,AUTOMATICA,2022,77.6940639269407,77.6940639269407,77.6940639269407,77.6940639269407,77.6940639269407
A328,SURUBIM,AUTOMATICA,2023,90.3767123287671,90.4680365296804,90.4680365296804,90.4680365296804,90.3767123287671
A328,SURUBIM,AUTOMATICA,2024,36.9649362477231,37.0673952641166,37.0673952641166,7.70719489981785,36.9649362477231
A328,SURUBIM,AUTOMATICA,2025,24.4033344752769,25.4082448327053,25.4082448327053,25.4082448327053,25.4082448327053
A329,CABROBO,AUTOMATICA,2017,99.4520547945206,99.4520547945206,99.4520547945206,98.4931506849315,99.4520547945206
A329,CABROBO,AUTOMATICA,2018,91.7123287671233,91.7123287671233,91.7123287671233,90.7648401826484,91.7123287671233
A329,CABROBO,AUTOMATICA,2019,85.4794520547945,85.4908675799087,85.4908675799087,84.4977168949772,85.4794520547945
