arquivo,cod_estacao,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,ano,variavel,coluna_detectada,n_registros,n_validos,n_ausentes,pct_validos,n_datas_com_registro,n_datas_com_valor,n_meses_com_valor,inicio_local,fim_local,minimo,p01,mediana,p99,maximo
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2022,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",1095,0,1095,0,365,0,0,2022-01-01T12:00:00Z,2023-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2022,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",1095,0,1095,0,365,0,0,2022-01-01T12:00:00Z,2023-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2022,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",1095,0,1095,0,365,0,0,2022-01-01T12:00:00Z,2023-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2022,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",1095,0,1095,0,365,0,0,2022-01-01T12:00:00Z,2023-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2022,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",1095,0,1095,0,365,0,0,2022-01-01T12:00:00Z,2023-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2023,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",1095,0,1095,0,365,0,0,2023-01-01T12:00:00Z,2024-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2023,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",1095,0,1095,0,365,0,0,2023-01-01T12:00:00Z,2024-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2023,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",1095,0,1095,0,365,0,0,2023-01-01T12:00:00Z,2024-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2023,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",1095,0,1095,0,365,0,0,2023-01-01T12:00:00Z,2024-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2023,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",1095,0,1095,0,365,0,0,2023-01-01T12:00:00Z,2024-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2024,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",1098,0,1098,0,366,0,0,2024-01-01T12:00:00Z,2025-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2024,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",1098,0,1098,0,366,0,0,2024-01-01T12:00:00Z,2025-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2024,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",1098,0,1098,0,366,0,0,2024-01-01T12:00:00Z,2025-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2024,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",1098,0,1098,0,366,0,0,2024-01-01T12:00:00Z,2025-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2024,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",1098,0,1098,0,366,0,0,2024-01-01T12:00:00Z,2025-01-01T00:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2025,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",1094,0,1094,0,365,0,0,2025-01-01T12:00:00Z,2025-12-31T18:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2025,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",1094,0,1094,0,365,0,0,2025-01-01T12:00:00Z,2025-12-31T18:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2025,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",1094,0,1094,0,365,0,0,2025-01-01T12:00:00Z,2025-12-31T18:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2025,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",1094,0,1094,0,365,0,0,2025-01-01T12:00:00Z,2025-12-31T18:00:00Z,,,,,
dados_82781_H_2017-01-01_2025-12-31.csv,82781,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,2025,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",1094,0,1094,0,365,0,0,2025-01-01T12:00:00Z,2025-12-31T18:00:00Z,,,,,
dados_82789_H_2017-01-01_2018-03-28.csv,82789,TRIUNFO,CONVENCIONAL,-7.82972221,-38.12222221,1105,Horaria,2017,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",1095,0,1095,0,365,0,0,2017-01-01T12:00:00Z,2018-01-01T00:00:00Z,,,,,
