estacao_historica,ano_alvo,latitude_mp10,longitude_mp10,origem_coordenada,status_espacial,cod_estacao,ano,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms,direcao_vento_graus_n_dias,pressao_estacao_hpa_n_dias,temperatura_ar_c_n_dias,umidade_relativa_pct_n_dias,velocidade_vento_ms_n_dias,distancia_km,faixa_distancia,n_variaveis_nucleares_com_valor,todas_nucleares_com_valor,completude_min_nucleares,completude_media_nucleares,pressao_disponivel,classe_completude_nuclear,rank_distancia,rank_completude_nuclear
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A301,2021,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,99.7750430064841,99.7882757708085,99.7882757708085,98.3459044594416,99.7750430064841,315,315,315,315,315,43.1702325218827,>25-50 km,4,TRUE,98.3459044594416,99.4210665608046,TRUE,>=90%,1,3
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A357,2021,PALMARES,AUTOMATICA,-8.66666666,-35.56805554,164.01,Horaria,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626,73.2876712328767,268,268,268,268,268,65.7758532771756,>50-75 km,4,TRUE,73.2762557077626,73.2848173515982,TRUE,50-<75%,2,5
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A328,2021,SURUBIM,AUTOMATICA,-7.84249999,-35.79027777,421.44,Horaria,42.9794520547945,43.013698630137,43.013698630137,43.013698630137,42.9794520547945,365,365,365,365,365,108.480732508596,>100-150 km,4,TRUE,42.9794520547945,42.9965753424658,TRUE,<50%,3,8
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A341,2021,CARUARU,AUTOMATICA,-8.35611111,-36.02833332,837,Horaria,6.79223744292237,6.79223744292237,6.78082191780822,4.72602739726027,6.79223744292237,26,26,25,25,26,111.998823291037,>100-150 km,4,TRUE,4.72602739726027,6.27283105022831,TRUE,<50%,4,12
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A322,2021,GARANHUNS,AUTOMATICA,-8.91083333,-36.49333333,827.78,Horaria,63.4474885844749,63.527397260274,63.527397260274,54.9315068493151,63.4474885844749,233,233,233,226,233,170.706374706551,>150 km,4,TRUE,54.9315068493151,61.3384703196347,TRUE,50-<75%,5,6
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A309,2021,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,9.68036529680365,9.71461187214612,9.71461187214612,9.71461187214612,9.68036529680365,238,240,240,240,238,224.552428391221,>150 km,4,TRUE,9.68036529680365,9.69748858447489,TRUE,<50%,6,11
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A349,2021,IBIMIRIM,AUTOMATICA,-8.50944444,-37.71166666,434.23,Horaria,99.7488584474886,99.7945205479452,99.7945205479452,99.7945205479452,99.7488584474886,365,365,365,365,365,296.776967982221,>150 km,4,TRUE,99.7488584474886,99.7716894977169,TRUE,>=90%,7,2
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A350,2021,SERRA TALHADA,AUTOMATICA,-7.95416666,-38.29499999,499.02,Horaria,52.5342465753425,52.5799086757991,52.5799086757991,52.5799086757991,52.5342465753425,271,272,272,272,271,365.174603100963,>150 km,4,TRUE,52.5342465753425,52.5570776255708,TRUE,50-<75%,8,7
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A351,2021,FLORESTA,AUTOMATICA,-8.59888888,-38.58416666,327.42,Horaria,73.3904109589041,73.3904109589041,73.3904109589041,73.3904109589041,73.3904109589041,268,268,268,268,268,392.977424462744,>150 km,4,TRUE,73.3904109589041,73.3904109589041,TRUE,50-<75%,9,4
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,A370,2021,SALGUEIRO,AUTOMATICA,-8.05805555,-39.0961111,447,Horaria,30.6392694063927,30.6392694063927,30.6392694063927,30.6392694063927,30.6392694063927,360,360,360,360,360,451.247198429784,>150 km,4,TRUE,30.6392694063927,30.6392694063927,TRUE,<50%,10,10
