estacao_historica,ano_alvo,latitude_mp10,longitude_mp10,origem_coordenada,status_espacial,cod_estacao,ano,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms,direcao_vento_graus_n_dias,pressao_estacao_hpa_n_dias,temperatura_ar_c_n_dias,umidade_relativa_pct_n_dias,velocidade_vento_ms_n_dias,distancia_km,faixa_distancia,n_variaveis_nucleares_com_valor,todas_nucleares_com_valor,completude_min_nucleares,completude_media_nucleares,pressao_disponivel,classe_completude_nuclear,rank_distancia,rank_completude_nuclear
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82799,2021,GOIANA,CONVENCIONAL,-7.55,-34.98,11,Horaria,0,0,0,0,0,0,0,0,0,0,99.4334418588441,>75-100 km,0,FALSE,0,0,FALSE,incompleta,4,9
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82797,2021,SURUBIM,CONVENCIONAL,-7.84249999,-35.79027777,421.44,Horaria,29.1324200913242,29.1324200913242,28.9497716894977,29.041095890411,29.1324200913242,126,126,126,126,126,108.480732508596,>100-150 km,4,TRUE,28.9497716894977,29.0639269406393,TRUE,<50%,5,5
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82893,2021,GARANHUNS,CONVENCIONAL,-8.91083333,-36.49333333,827.78,Horaria,8.58447488584475,9.58904109589041,0.091324200913242,0.182648401826484,0.182648401826484,57,64,1,2,2,170.706374706551,>150 km,4,TRUE,0.091324200913242,2.26027397260274,TRUE,<50%,6,6
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82890,2021,ARCO VERDE,CONVENCIONAL,-8.4336111,-37.05527777,683.91,Horaria,65.4794520547945,64.9315068493151,65.4794520547945,65.4794520547945,64.8401826484018,325,325,325,325,325,224.521875499897,>150 km,4,TRUE,64.8401826484018,65.3196347031963,TRUE,50-<75%,7,3
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82886,2021,CABROBO,CONVENCIONAL,-8.50388888,-39.31527777,342.78,Horaria,57.5342465753425,57.5342465753425,57.5342465753425,57.4429223744292,57.5342465753425,316,316,316,316,316,473.101554133919,>150 km,4,TRUE,57.4429223744292,57.5114155251142,TRUE,50-<75%,8,4
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82753,2021,OURICURI,CONVENCIONAL,-7.87944443,-40.09194444,462.01,Horaria,96.2557077625571,96.1643835616438,96.0730593607306,96.0730593607306,96.1643835616438,355,355,355,355,355,562.423513817691,>150 km,4,TRUE,96.0730593607306,96.1415525114155,TRUE,>=90%,9,1
IPOJUCA,2021,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82983,2021,PETROLINA,CONVENCIONAL,-9.3886111,-40.52333332,372.54,Horaria,95.7990867579909,95.6164383561644,95.5251141552512,95.7077625570776,95.7990867579909,361,361,361,361,361,614.247036030308,>150 km,4,TRUE,95.5251141552512,95.7077625570777,TRUE,>=90%,10,2
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82897,2025,TAPACURA,CONVENCIONAL,-8.17,-35.18,102,Horaria,0,0,0,0,0,0,0,0,0,0,35.4819504777949,>25-50 km,0,FALSE,0,0,FALSE,incompleta,1,6
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82898,2025,OLINDA,CONVENCIONAL,-8.02,-34.85,55,Horaria,0,0,0,0,0,0,0,0,0,0,50.4417251048879,>50-75 km,0,FALSE,0,0,FALSE,incompleta,2,6
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82781,2025,NAZARE DA MATA,CONVENCIONAL,-7.73,-35.25,87,Horaria,0,0,0,0,0,0,0,0,0,0,83.4918755057985,>75-100 km,0,FALSE,0,0,FALSE,incompleta,3,6
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82799,2025,GOIANA,CONVENCIONAL,-7.55,-34.98,11,Horaria,0,0,0,0,0,0,0,0,0,0,99.4334418588441,>75-100 km,0,FALSE,0,0,FALSE,incompleta,4,6
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82797,2025,SURUBIM,CONVENCIONAL,-7.84249999,-35.79027777,421.44,Horaria,0.457038391224863,86.837294332724,86.745886654479,86.654478976234,0.457038391224863,5,342,342,342,5,108.480732508596,>100-150 km,4,TRUE,0.457038391224863,43.5786106032907,TRUE,<50%,5,4
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82890,2025,ARCO VERDE,CONVENCIONAL,-8.4336111,-37.05527777,683.91,Horaria,83.5466179159049,82.8153564899452,83.45521023766,83.6380255941499,83.45521023766,320,320,320,320,320,224.521875499897,>150 km,4,TRUE,83.45521023766,83.5237659963437,TRUE,75-<90%,6,1
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82886,2025,CABROBO,CONVENCIONAL,-8.50388888,-39.31527777,342.78,Horaria,45.6880733944954,45.5045871559633,45.5045871559633,45.6880733944954,45.6880733944954,126,126,126,126,126,473.101554133919,>150 km,4,TRUE,45.5045871559633,45.6422018348624,TRUE,<50%,7,3
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82753,2025,OURICURI,CONVENCIONAL,-7.87944443,-40.09194444,462.01,Horaria,49.2687385740402,49.1773308957952,49.2687385740402,49.2687385740402,49.2687385740402,247,247,247,247,247,562.423513817691,>150 km,4,TRUE,49.2687385740402,49.2687385740402,TRUE,<50%,8,2
IPOJUCA,2025,-8.44359,-35.01403,"MonitorAr 2024, proxy espacial da serie historica",provisorio,82983,2025,PETROLINA,CONVENCIONAL,-9.3886111,-40.52333332,372.54,Horaria,0.0914076782449726,0,52.4680073126143,52.5594149908592,0.0914076782449726,1,0,294,294,1,614.247036030308,>150 km,4,TRUE,0.0914076782449726,26.3025594149909,FALSE,<50%,9,5
