fonte_dados,cod_estacao,ano,n_antes,n_duplicatas_exatas_removiveis,n_depois,n_arquivos
CEMADEN,261150702A,2025,7559,234,7325,13
CEMADEN,261150703A,2017,13545,1,13544,13
CEMADEN,261153301A,2025,10222,738,9484,13
CEMADEN,261160601A,2017,13646,1,13645,13
CEMADEN,261160603A,2017,14526,1,14525,13
CEMADEN,261160603G,2025,9991,741,9250,13
CEMADEN,261160604A,2017,13198,1,13197,13
CEMADEN,261160604G,2025,11491,830,10661,13
CEMADEN,261160605A,2017,13176,1,13175,13
CEMADEN,261160605A,2025,11883,842,11041,13
CEMADEN,261160606A,2017,13387,1,13386,13
CEMADEN,261160606G,2025,11503,803,10700,13
CEMADEN,261160607A,2017,13792,1,13791,13
CEMADEN,261160608A,2017,15325,1,15324,13
CEMADEN,261160609A,2017,11653,1,11652,12
CEMADEN,261160609A,2025,12975,799,12176,13
CEMADEN,261160610A,2017,5388,1,5387,7
CEMADEN,261160612A,2025,11247,727,10520,13
CEMADEN,261160613A,2017,5219,1,5218,7
CEMADEN,261160613A,2025,226,29,197,9
CEMADEN,261160614A,2017,12710,1,12709,13
CEMADEN,261160614A,2025,10752,812,9940,13
CEMADEN,261160615A,2017,14053,1,14052,13
CEMADEN,261160616A,2017,13883,1,13882,12
CEMADEN,261160616G,2025,11528,816,10712,13
CEMADEN,261160617A,2017,13804,1,13803,13
CEMADEN,261160617A,2025,10006,744,9262,13
CEMADEN,261160618A,2017,11980,1,11979,13
CEMADEN,261160618A,2025,11610,828,10782,13
CEMADEN,261160619A,2017,12132,1,12131,13
CEMADEN,261160620A,2017,13620,1,13619,13
CEMADEN,261160620A,2025,4660,438,4222,13
CEMADEN,261160621A,2017,13161,1,13160,13
CEMADEN,261160622A,2017,12371,1,12370,13
CEMADEN,261160623A,2025,9597,375,9222,13
CEMADEN,261170501A,2025,9452,627,8825,13
CEMADEN,261180401A,2017,12957,1,12956,13
CEMADEN,261180401A,2025,11798,821,10977,13
CEMADEN,261180402A,2025,5550,28,5522,12
CEMADEN,261190301A,2017,15559,62,15497,13
CEMADEN,261190302A,2017,5332,1,5331,11
CEMADEN,261190303A,2025,10532,641,9891,13
CEMADEN,261200001A,2017,15156,1,15155,13
CEMADEN,261200001A,2025,36743,2198,34545,13
CEMADEN,261210901A,2025,9064,277,8787,13
CEMADEN,261210901C,2017,13910,1,13909,10
CEMADEN,261230701A,2025,7531,766,6765,13
CEMADEN,261240601A,2017,11065,1,11064,13
CEMADEN,261240601A,2025,9235,735,8500,13
CEMADEN,261240601C,2017,12376,1,12375,12
CEMADEN,261247101A,2025,9650,707,8943,13
CEMADEN,261250501A,2025,6690,13,6677,13
