fonte_dados,cod_estacao,ano,n,minimo,p50,p95,p99,p999,maximo
CEMADEN,260105201A,2025,10785,0,0,0.98,2.95,7.1,22.96
CEMADEN,260110201A,2018,4920,0,0,0,0,0,0
CEMADEN,260110201A,2019,7994,0,0,0,0,0,0
CEMADEN,260110201A,2020,4418,0,0,0,0,0,0
CEMADEN,260110201A,2021,87,0,0,0,0.0280000000000001,0.1828,0.2
CEMADEN,260110201A,2024,1,0,0,0,0,0,0
CEMADEN,260110202A,2024,2789,0,0,0,1.18,4.57028,7.51
CEMADEN,260110202A,2025,9312,0,0,0.2,1.57,7.17560000000012,10.58
CEMADEN,260110203A,2025,2423,0,0,0,0.4,4.94679999999999,9.8
CEMADEN,260110204A,2025,2484,0,0,0,0.634000000000015,6.33059999999969,10.4
CEMADEN,260110206A,2025,2458,0,0,0,0.4,2.10860000000002,3.4
CEMADEN,260110207A,2025,2298,0,0,0.2,0.8,6.8,9.6
CEMADEN,260120101A,2023,4580,0,0,0.2,0.42,2.75421,5.93
CEMADEN,260120101A,2024,8068,0,0,0.2,1.18,7.35129,15.8
CEMADEN,260120101A,2025,6337,0,0,0.39,0.98,4.06615999999995,8.54
CEMADEN,260120101C,2017,2187,0,0,0,0.2,0.6,2.4
CEMADEN,260120101C,2018,7632,0,0,0.2,1.6,7.8,16
CEMADEN,260120101C,2019,4664,0,0,0.4,1.2,4.53920000000071,10.4
CEMADEN,260120101C,2020,304,0,0,0.4,2.19399999999999,2.6,2.6
CEMADEN,260120101C,2022,230,0,0,0.2,0.4,12.4733999999998,16
CEMADEN,260130001A,2017,16235,0,0,0.59,1.57,4.33,9.95
CEMADEN,260130001A,2018,10332,0,0,0.59,1.97,5.83710999999998,9.56
CEMADEN,260130001A,2019,10355,0,0,0.59,1.57,4.15938000000002,8.34
CEMADEN,260130001A,2020,10341,0,0,0.59,1.96,5.12,22.13
CEMADEN,260130001A,2021,10487,0,0,0.59,1.57,3.55,6.1
CEMADEN,260130001A,2022,11178,0,0,0.79,2.17,4.72,17.07
CEMADEN,260130001A,2023,11156,0,0,0.59,1.77,5.05799999999974,11.39
CEMADEN,260130001A,2024,10594,0,0,0.59,1.58,6.8527999999997,20.81
CEMADEN,260130001A,2025,8845,0,0,0.59,1.57,4.75964000000016,69.02
CEMADEN,260130002A,2019,6457,0,0,0.79,1.57,2.95,11.04
CEMADEN,260130002A,2020,305,0,0,0,0.2,0.86144000000001,0.98
CEMADEN,260130002A,2023,5,0,0,0.2,0.2,0.2,0.2
CEMADEN,260130016H,2023,7424,0,0,0.6,1.4,3.31540000000005,9.6
CEMADEN,260130016H,2024,10607,0,0,0.6,1.6,5.31520000000019,39.2
CEMADEN,260130016H,2025,11139,0,0,0.6,1.6,4,13.8
CEMADEN,260140901A,2017,13748,0,0,0.98,2.76,5.90506000000001,14.47
CEMADEN,260140901A,2018,10535,0,0,0.98,3.35,8.17194000000003,13.42
CEMADEN,260140901A,2019,10469,0,0,1.18,3.81759999999995,9.14531999999999,12.2
CEMADEN,260140901A,2020,9786,0,0,0.59,2.36,8.17020000000004,12.4
CEMADEN,260140901A,2021,8216,0,0,0,0.79,3.32634999999998,6.3
CEMADEN,260140901A,2022,8619,0,0,1.57,3.94,9.24875999999993,36.3
CEMADEN,260140901A,2023,10977,0,0,1.37,3.74,7.71023999999999,18.1
CEMADEN,260140901A,2024,8407,0,0,0.98,3.15,7.23067999999981,10.98
CEMADEN,260140901A,2025,7671,0,0,1.77,4.33,8.26529999999997,12.19
CEMADEN,260140901H,2017,10019,0,0,1,3,6,10.8
CEMADEN,260140901H,2020,1816,0,0,0.2,1.4,3.07399999999998,3.6
CEMADEN,260140901H,2021,8362,0,0,1,3,7.12779999999984,12
CEMADEN,260140902A,2017,13618,0,0,0.98,2.76,6.78893999999997,12.4
CEMADEN,260140902A,2018,10275,0,0,0.79,3.35,7.76534000000005,15.81
CEMADEN,260140902A,2019,10063,0,0,1.18,3.54,10.3359800000001,13.42
CEMADEN,260140902A,2020,10103,0,0,0.98,3.55,9.49287999999957,13.01
CEMADEN,260140902A,2021,6289,0,0,1.18,3.94,7.64240000000009,14.69
CEMADEN,260140902A,2022,7107,0,0,1.57,4.33,8.52894,381.21
CEMADEN,260140902A,2023,10983,0,0,1.37,3.94,9.35018,17.48
CEMADEN,260140902A,2024,10522,0,0,1.18,3.35,8.62058999999987,13.85
CEMADEN,260140902A,2025,9412,0,0,1.18,3.74,8.64368999999999,14.27
CEMADEN,260140903A,2017,1024,0,0,0.361499999999983,1.18,2.3554,5.74
CEMADEN,260140903A,2018,10340,0,0,0.98,3.74,8.68271000000001,16.46
CEMADEN,260140903A,2019,9324,0,0,1.38,4.08630000000008,11.09832,15.65
CEMADEN,260140903A,2021,1054,0,0.2,1.97,3.94,8.80544999999974,21.2
CEMADEN,260140903A,2022,7,0,0.2,8.20399999999999,10.8728,11.47328,11.54
CEMADEN,260140917H,2023,7432,0,0,1.2,3.13799999999992,6.51380000000008,8.8
CEMADEN,260140917H,2024,10676,0,0,1,3.2,8,11.6
CEMADEN,260140917H,2025,11287,0,0,1.2,3.6,7.54279999999999,12.6
CEMADEN,260150802A,2017,9036,0,0,0.39,1.18,4.33,123.99
CEMADEN,260150802A,2018,10329,0,0,0.59,1.97,6.49672000000001,10.38
CEMADEN,260150802A,2019,9887,0,0,0.79,1.57,4.53,7.93
CEMADEN,260150802A,2020,5232,0,0,0.42,1.37,3.54,6.3
CEMADEN,260150802A,2021,10634,0,0,0.59,1.57,5.77973000000004,9.38
CEMADEN,260150802A,2022,11196,0,0,0.79,2.16,7.1,11
CEMADEN,260150802A,2023,10985,0,0,0.59,1.58,5.31,11.38
CEMADEN,260150802A,2024,10647,0,0,0.59,1.77,4.92,10.37
CEMADEN,260150802A,2025,11278,0,0,0.79,1.97,4.53,7.71
CEMADEN,260170601A,2023,1104,0,0,0.2,0.59,1.88862999999995,2.56
CEMADEN,260170601A,2024,8773,0,0,0.2,0.98,4.95343999999917,16.52
CEMADEN,260170601A,2025,7088,0,0,0.39,1.37,11.5717299999999,17.48
CEMADEN,260170601C,2018,7642,0,0,0.2,0.8,5.6,9.6
CEMADEN,260170601C,2019,6551,0,0,0.2,1,4.8,11.8
CEMADEN,260170601C,2020,5780,0,0,0.2,1.6,5.64419999999991,9.2
CEMADEN,260170601C,2022,74,0,0,0,0,0,0
CEMADEN,260170601C,2023,4967,0,0,0.2,1.2,7.20679999999993,12.8
CEMADEN,260170601C,2024,2284,0,0,0,0.6,7.6340000000002,13.4
CEMADEN,260170601C,2025,28,0,0,0.2,0.346,0.3946,0.4
CEMADEN,260170602A,2025,2943,0,0,0,0.4,2.0116,3.4
CEMADEN,260170603A,2025,2948,0,0,0,0.4,1.62119999999995,2.6
CEMADEN,260170604A,2025,2927,0,0,0,0.4,1.62960000000003,2.4
CEMADEN,260180501A,2018,7113,0,0,0,0.59,4.64711999999994,13.63
CEMADEN,260180501A,2019,5821,0,0,0.2,1.38,7.54600000000035,12.67
CEMADEN,260180501A,2024,4134,0,0,0,0.39,3.09680000000008,7.31
CEMADEN,260180501A,2025,6546,0,0,0.2,1.18,6.19099999999999,10.78
CEMADEN,260180501U,2018,19,0,0,0.219999999999995,1.804,2.1604,2.2
CEMADEN,260190401A,2017,10439,0,0,0.2,0.98,3.15562,12.4
CEMADEN,260190401A,2018,9244,0,0,0.2,1.18,6.15662999999977,14.92
CEMADEN,260190401A,2019,8914,0,0,0.39,1.18,5.39612999999954,10.37
CEMADEN,260190401A,2020,9216,0,0,0.39,1.96,9.00314999999991,20.6
CEMADEN,260190401A,2021,9343,0,0,0.2,0.98,3.48159999999989,5.9
CEMADEN,260190401A,2022,9779,0,0,0.39,1.38,8.16995999999996,18.3
CEMADEN,260190401A,2023,9576,0,0,0.39,1.37,5.16,14.28
CEMADEN,260190401A,2024,8986,0,0,0.2,1.57,6.50014999999999,13.21
CEMADEN,260190401A,2025,6818,0,0,0.2,0.98,2.3966,6.1
CEMADEN,260190401C,2017,9,0,1.2,2.48,2.736,2.7936,2.8
CEMADEN,260190401C,2018,6008,0,0,0.2,1.2,5.6,15.8
CEMADEN,260190401C,2019,4645,0,0,0.2,1.4,8.21359999999986,9.8
CEMADEN,260190401C,2020,5083,0,0,0.2,0.4,0.6,0.6
CEMADEN,260190401C,2021,6897,0,0,0,0.2,0.2,0.6
CEMADEN,260200101A,2023,3577,0,0,0,0.39,1.85056,8.52
CEMADEN,260200101A,2024,7928,0,0,0.2,1.77,7.18373000000032,15.55
CEMADEN,260200101A,2025,8960,0,0,0,0.79,5.51204999999996,10.79
CEMADEN,260200101C,2017,4441,0,0,0.2,1.4,6,8
CEMADEN,260200101C,2018,5955,0,0,0.2,1.6,9.2,18.8
CEMADEN,260200101C,2019,624,0,0,0,0.2,0.475399999999991,0.6
CEMADEN,260210001A,2023,3424,0,0,0.2,0.2,0.899629999999957,2.75
CEMADEN,260210001A,2024,7432,0,0,0.2,0.98,5.51,11.79
CEMADEN,260210001A,2025,10122,0,0,0.2,0.79,3.15,8.11
CEMADEN,260210001C,2017,11531,0,0,0.2,0.6,1.8,5.6
CEMADEN,260210001C,2018,8907,0,0,0.2,0.8,4.2,10.4
CEMADEN,260210001C,2019,6727,0,0,0.2,0.8,5.32880000000041,11
CEMADEN,260210001C,2020,8023,0,0,0.4,1.6,7.39560000000001,14
CEMADEN,260210001C,2022,6502,0,0,0.4,1.2,5.69859999999972,16
CEMADEN,260210001C,2023,8376,0,0,0.2,0.8,3.2,9.2
CEMADEN,260210001C,2024,3616,0,0,0.2,0.8,2.87700000000004,4.2
CEMADEN,260210001C,2025,1017,0,0,0,0,0,0.2
CEMADEN,260220901A,2017,384,0,0,0.559999999999993,1.87030000000001,2.6834,2.76
CEMADEN,260220901A,2018,3078,0,0,0.42,2.16,7.23839999999982,10.57
CEMADEN,260220901A,2019,1338,0,0,0.591499999999999,1.7763,7.18516000000001,10
CEMADEN,260220901A,2020,9636,0,0,0.39,1.77,7.37299999999996,17.29
CEMADEN,260220901A,2021,5528,0,0,0.39,2.50599999999991,9.96946,13.85
CEMADEN,260220901A,2022,310,0,0,0.2,0.59,1.27408999999997,1.58
CEMADEN,260220901A,2023,9851,0,0,0.59,1.77,4.72,12.08
CEMADEN,260220901A,2024,9920,0,0,0.42,1.58,9.59103000000008,21.24
CEMADEN,260220901A,2025,10421,0,0,0.42,1.57,5.34619999999997,9.78
CEMADEN,260220902A,2025,2661,0,0,0,0.6,3.53600000000006,9.6
CEMADEN,260220903A,2025,2654,0,0,0,0.2,1.06940000000004,3.4
CEMADEN,260220904A,2025,3256,0,0,0.2,0.8,2.99599999999991,3.6
CEMADEN,260230801A,2017,390,0,0,0.699999999999991,1.5733,2.40829,2.56
CEMADEN,260230801A,2018,10594,0,0,0.59,1.77,5.19732999999986,14.95
CEMADEN,260230801A,2019,10843,0,0,0.59,1.38,4.78319999999978,10.37
CEMADEN,260230801A,2020,6650,0,0,0.79,2.36,5.77668999999994,8.32
CEMADEN,260230801A,2021,4562,0,0,0.42,0.98,1.77,2.56
CEMADEN,260230801A,2022,11924,0,0,0.79,1.77,5.32539999999986,13.45
CEMADEN,260230801A,2023,11066,0,0,0.59,1.3735,4.72,10.17
CEMADEN,260230801A,2024,10822,0,0,0.59,1.37,4.76537,15.55
CEMADEN,260230801A,2025,11827,0,0,0.59,1.18,3.15,7.73
CEMADEN,260230802A,2019,1244,0,0,0.2,0.79,2.36803000000005,2.76
CEMADEN,260230802A,2020,5681,0,0,1.37,4.13,9.68119999999988,11.79
CEMADEN,260230802A,2021,4590,0,0,0.79,1.57219999999999,4.10029000000002,6.9
CEMADEN,260230802A,2022,12084,0,0,1.18,2.75,6.49,16.67
CEMADEN,260230802A,2023,6683,0,0,1.18,2.5618,7.09386000000027,120.22
CEMADEN,260230802A,2024,7899,0,0,0.98,1.96,3.77977999999995,9.76
CEMADEN,260230802A,2025,6706,0,0.2,1.18,2.36,4.97900000000001,6.5
CEMADEN,260230803A,2025,2782,0,0,0.2,0.6,2.2,3
CEMADEN,260230804A,2025,3275,0,0,0.4,0.8,1.89040000000005,5
CEMADEN,260230805A,2025,2834,0,0,0.2,0.6,1.06679999999997,2.4
CEMADEN,260240701C,2017,16191,0,0,0.4,1,2.5619999999999,5.8
CEMADEN,260240701C,2018,9235,0,0,0.2,1,3.8,7.2
CEMADEN,260240701C,2019,7686,0,0,0.2,0.4,1.2,2
CEMADEN,260240701C,2020,2518,0,0,0.2,0.6,2.4,4.2
CEMADEN,260240701C,2021,1983,0,0,0.2,1,1.6,1.6
CEMADEN,260240701C,2022,293,0,0,0.8,2.83199999999999,5.08320000000001,5.2
CEMADEN,260240701C,2023,8042,0,0,0.4,1.2,3.79179999999997,19
CEMADEN,260240701C,2024,3769,0,0,0.4,2,8.69279999999999,15.2
CEMADEN,260250601A,2018,8608,0,0,0.2,1.97,9.96393,20.8
CEMADEN,260250601A,2019,6388,0,0,0.42,2.76,12.8,17.07
CEMADEN,260250601A,2021,1517,0,0,0.2,1.14799999999998,4.68099999999979,8.94
CEMADEN,260250601A,2022,174,0,0.2,3.6165,7.67220000000003,10.26447,10.37
CEMADEN,260250601A,2023,3199,0,0,0,0.423399999999997,8.68842000000003,13.47
CEMADEN,260250601A,2024,8987,0,0,0.2,1.97,13.4429399999998,17.49
CEMADEN,260250601A,2025,6622,0,0,0.39,2.16,7.91,16.85
CEMADEN,260260501C,2017,10128,0,0,0.2,0.8,4.2,6.8
CEMADEN,260260501C,2018,7781,0,0,0.2,1.2,7.8880000000001,12.2
CEMADEN,260260501C,2019,7786,0,0,0.2,0.8,5.44300000000003,16.8
CEMADEN,260260501C,2020,5979,0,0,0,0.0440000000000509,0.2,0.6
CEMADEN,260260501C,2021,451,0,0,0,0,0,0
CEMADEN,260260501C,2022,132,0,0,0,0.2,0.8952,1
CEMADEN,260260501C,2023,3375,0,0,0.4,2.4,9.52520000000004,15.6
CEMADEN,260260501C,2024,1,16.6,16.6,16.6,16.6,16.6,16.6
CEMADEN,260270401A,2017,908,0,0,0,0.578099999999991,1.41626999999998,1.77
CEMADEN,260270401A,2018,9558,0,0,0.42,1.9743,5.51,9.98
CEMADEN,260270401A,2019,9444,0,0,0.59,1.96,7.23254000000015,10.38
CEMADEN,260270401A,2020,9454,0,0,0.39,1.57,5.85153000000048,11.59
CEMADEN,260270401A,2021,9573,0,0,0.41,1.57,4.41559999999998,12.19
CEMADEN,260270401A,2022,10029,0,0,0.79,2.76,7.90319999999985,15.34
CEMADEN,260270401A,2023,10068,0,0,0.59,1.97,5.52865999999998,14.06
CEMADEN,260270401A,2024,8424,0,0,0.39,1.77,6.1,12.19
CEMADEN,260270401A,2025,7895,0,0,0.601999999999971,1.97,7.01013999999996,12.2
CEMADEN,260280301A,2017,203,0,0,0.39,1.75819999999999,3.22286,3.54
CEMADEN,260280301A,2018,9500,0,0,0.2,1.37,9.15505000000001,20.6
CEMADEN,260280301A,2019,8590,0,0,0.2,0.59,5.95249000000004,13.43
CEMADEN,260280301A,2020,6038,0,0,0.39,0.98,4.71296999999995,9.38
CEMADEN,260280301A,2021,9994,0,0,0.39,1.37,6.51132999999993,15.55
CEMADEN,260280301A,2022,10694,0,0,0.59,1.96,7.51,11.18
CEMADEN,260280301A,2023,9901,0,0,0.39,1.18,8.16300000000016,22.96
CEMADEN,260280301A,2024,8663,0,0,0.59,2.36,9.78338,15.14
CEMADEN,260280301A,2025,5780,0,0,0.59,1.58,6.44038999999973,27.48
CEMADEN,260290201G,2019,1568,0,0,0.4,1.6,3.80619999999999,5.2
CEMADEN,260290201G,2020,9406,0,0,1,3.4,7.11899999999987,9.8
CEMADEN,260290201G,2021,6287,0,0,1.4,4.2,9.08559999999998,14.8
CEMADEN,260290201G,2023,1512,0,0,0.6,2.4,9.28020000000006,10.4
CEMADEN,260290201G,2024,7738,0,0,0.8,3.32600000000002,8.2,11
CEMADEN,260290201G,2025,4311,0,0.6,6.8,11.6,19.4,27.2
CEMADEN,260290202A,2017,14098,0,0,0.79,2.76,6.98224000000002,11.79
CEMADEN,260290202A,2018,946,0,0,3.1875,8.1155,13.4221,13.63
CEMADEN,260290202A,2019,5787,0,0,1.18,2.76,6.07119999999995,12.01
CEMADEN,260290202A,2020,9771,0,0,0.79,2.76,6.1,11.81
CEMADEN,260290202A,2021,6905,0,0,1.37,4.53,10.98,25.52
CEMADEN,260290202A,2022,4155,0,0,1.96,5.12,9.73227999999992,10.78
CEMADEN,260290202A,2023,2128,0,0,0,0,0.98,1.57
