fonte_dados,cod_estacao,ano,nome_estacao,tipo_estacao,periodicidade_fonte,intervalo_modal_min,n_intervalos_modais,n_dias_com_valor,moda_n_validas,p50_n_validas,p90_n_validas,p95_n_validas,max_n_validas,n_esperado_intervalo,erro_fechamento_min,intervalo_fecha_dia,n_esperado_dia,razao_p95_esperado,cadencia_inconsistente,confianca_cadencia
CEMADEN,260080701C,2019,ALTINHO,PLUVIOMETRICA_AUTOMATICA,,60,6097,312,24,24,32.9,40,96,24,0,TRUE,24,1.66666666666667,TRUE,BAIXA
CEMADEN,260080701C,2020,ALTINHO,PLUVIOMETRICA_AUTOMATICA,,60,6793,366,24,24,33,38.75,58,24,0,TRUE,24,1.61458333333333,TRUE,BAIXA
CEMADEN,260080701C,2021,ALTINHO,PLUVIOMETRICA_AUTOMATICA,,60,804,75,14,13,16,17,28,24,0,TRUE,24,0.708333333333333,TRUE,BAIXA
CEMADEN,260080701C,2022,ALTINHO,PLUVIOMETRICA_AUTOMATICA,,60,2536,125,24,27,48.8,60.6,82,24,0,TRUE,24,2.525,TRUE,BAIXA
CEMADEN,260080702A,2017,ALTINHO - APAC,PLUVIOMETRICA_AUTOMATICA,,60,227,12,23,23,29.7,35.85,43,24,0,TRUE,24,1.49375,TRUE,BAIXA
CEMADEN,260080702A,2018,ALTINHO - APAC,PLUVIOMETRICA_AUTOMATICA,,60,8131,365,24,24,32,35.8,66,24,0,TRUE,24,1.49166666666667,TRUE,BAIXA
CEMADEN,260080702A,2019,ALTINHO - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7134,343,24,24,32,39,101,24,0,TRUE,24,1.625,TRUE,BAIXA
CEMADEN,260080702A,2020,ALTINHO - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7568,358,24,24,34,39.15,71,24,0,TRUE,24,1.63125,TRUE,BAIXA
CEMADEN,260080702A,2021,ALTINHO - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7808,365,24,24,34,40.8,62,24,0,TRUE,24,1.7,TRUE,BAIXA
CEMADEN,260080702A,2022,ALTINHO - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3844,186,24,24,40,48,77,24,0,TRUE,24,2,TRUE,BAIXA
CEMADEN,260090601A,2017,AMARAJI - APAC,PLUVIOMETRICA_AUTOMATICA,,60,917,46,24,23,25,27,50,24,0,TRUE,24,1.125,FALSE,ALTA
