fonte_dados,cod_estacao,ano,nome_estacao,tipo_estacao,periodicidade_fonte,intervalo_modal_min,n_esperado_dia,confianca_cadencia,cadencia_inconsistente,n_dias_calendario,n_dias_algum_valor,n_dias_75,n_dias_80,n_dias_90,n_dias_100,prop_algum_valor,prop_75,prop_80,prop_90,prop_100,maior_lacuna_sem_90,n_dias_acima_esperado,n_meses_algum_valor,n_meses_80pct_dias_90
CEMADEN,260040101A,2018,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,355,346,346,342,336,0.972602739726027,0.947945205479452,0.947945205479452,0.936986301369863,0.920547945205479,17,147,12,11
CEMADEN,260040101A,2019,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,206,142,137,137,128,0.564383561643836,0.389041095890411,0.375342465753425,0.375342465753425,0.350684931506849,182,62,10,3
CEMADEN,260040101A,2020,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,259,220,216,208,184,0.707650273224044,0.601092896174863,0.59016393442623,0.568306010928962,0.502732240437159,141,99,10,7
CEMADEN,260040101A,2021,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,362,356,355,355,341,0.991780821917808,0.975342465753425,0.972602739726027,0.972602739726027,0.934246575342466,7,172,12,11
CEMADEN,260040101A,2022,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,362,338,334,327,318,0.991780821917808,0.926027397260274,0.915068493150685,0.895890410958904,0.871232876712329,6,194,12,9
CEMADEN,260040101A,2023,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,356,335,330,323,300,0.975342465753425,0.917808219178082,0.904109589041096,0.884931506849315,0.821917808219178,15,124,12,11
CEMADEN,260040101A,2024,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,366,360,359,356,347,1,0.983606557377049,0.980874316939891,0.972677595628415,0.948087431693989,2,153,12,12
CEMADEN,260040101A,2025,Bairro D´Ouro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,362,172,172,168,164,0.991780821917808,0.471232876712329,0.471232876712329,0.46027397260274,0.449315068493151,190,84,12,6
CEMADEN,260040102A,2017,AGUA PRETA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,42,40,40,38,21,0.115068493150685,0.10958904109589,0.10958904109589,0.104109589041096,0.0575342465753425,325,5,2,1
CEMADEN,260040102A,2018,AGUA PRETA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,362,362,357,344,1,0.991780821917808,0.991780821917808,0.978082191780822,0.942465753424658,2,164,12,12
CEMADEN,260040102A,2019,AGUA PRETA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,212,142,137,123,114,0.580821917808219,0.389041095890411,0.375342465753425,0.336986301369863,0.312328767123288,104,76,11,2
CEMADEN,260040102A,2022,AGUA PRETA - APAC,PLUVIOMETRICA_AUTOMATICA,,,1,BAIXA,FALSE,365,1,1,1,1,1,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,296,0,1,0
CEMADEN,260050001A,2017,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,207,176,169,165,156,0.567123287671233,0.482191780821918,0.463013698630137,0.452054794520548,0.427397260273973,61,41,11,5
CEMADEN,260050001A,2018,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,361,330,318,304,269,0.989041095890411,0.904109589041096,0.871232876712329,0.832876712328767,0.736986301369863,8,55,12,8
CEMADEN,260050001A,2019,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,328,249,236,211,185,0.898630136986301,0.682191780821918,0.646575342465753,0.578082191780822,0.506849315068493,13,56,12,5
CEMADEN,260050001A,2021,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,297,295,295,294,269,0.813698630136986,0.808219178082192,0.808219178082192,0.805479452054795,0.736986301369863,69,103,10,9
CEMADEN,260050001A,2022,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,206,184,182,181,171,0.564383561643836,0.504109589041096,0.498630136986301,0.495890410958904,0.468493150684932,123,61,8,6
CEMADEN,260050001A,2023,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,44,37,34,31,19,0.120547945205479,0.101369863013699,0.0931506849315068,0.0849315068493151,0.052054794520548,294,3,4,0
CEMADEN,260050001A,2024,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,362,349,339,319,271,0.989071038251366,0.953551912568306,0.926229508196721,0.871584699453552,0.740437158469945,10,89,12,10
CEMADEN,260050001A,2025,Garanhuns,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,350,336,314,251,1,0.958904109589041,0.920547945205479,0.86027397260274,0.687671232876712,4,81,12,9
CEMADEN,260050002A,2017,Centro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,362,356,356,355,352,0.991780821917808,0.975342465753425,0.975342465753425,0.972602739726027,0.964383561643836,4,124,12,12
CEMADEN,260050002A,2018,Centro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,361,361,359,353,1,0.989041095890411,0.989041095890411,0.983561643835616,0.967123287671233,2,78,12,12
CEMADEN,260050002A,2019,Centro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,337,316,310,305,299,0.923287671232877,0.865753424657534,0.849315068493151,0.835616438356164,0.819178082191781,20,69,12,9
CEMADEN,260050002A,2020,Centro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,347,294,289,284,275,0.948087431693989,0.80327868852459,0.789617486338798,0.775956284153005,0.751366120218579,53,88,12,9
CEMADEN,260050002A,2021,Centro,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,326,266,264,260,250,0.893150684931507,0.728767123287671,0.723287671232877,0.712328767123288,0.684931506849315,69,13,12,8
CEMADEN,260050002A,2022,Centro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,257,244,243,241,222,0.704109589041096,0.668493150684932,0.665753424657534,0.66027397260274,0.608219178082192,116,82,10,8
CEMADEN,260050002A,2023,Centro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,364,364,364,357,1,0.997260273972603,0.997260273972603,0.997260273972603,0.978082191780822,1,90,12,12
CEMADEN,260050002A,2024,Centro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,366,364,364,363,360,1,0.994535519125683,0.994535519125683,0.991803278688525,0.983606557377049,2,113,12,12
CEMADEN,260050002A,2025,Centro,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,336,336,336,334,329,0.920547945205479,0.920547945205479,0.920547945205479,0.915068493150685,0.901369863013699,30,93,12,11
CEMADEN,260060901A,2024,Alagoinha [Garagem Municipal] - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,275,252,248,241,234,0.751366120218579,0.688524590163934,0.677595628415301,0.658469945355191,0.639344262295082,50,69,11,6
CEMADEN,260060901A,2025,Alagoinha [Garagem Municipal] - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,346,307,297,283,262,0.947945205479452,0.841095890410959,0.813698630136986,0.775342465753425,0.717808219178082,18,60,12,6
CEMADEN,260060901U,2017,ALAGOINHA,PLUVIOMETRICA_AUTOMATICA,,60,24,MEDIA,FALSE,365,20,14,14,14,11,0.0547945205479452,0.0383561643835616,0.0383561643835616,0.0383561643835616,0.0301369863013699,275,1,4,0
CEMADEN,260060901U,2018,ALAGOINHA,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,224,217,217,217,215,0.613698630136986,0.594520547945206,0.594520547945206,0.594520547945206,0.589041095890411,132,25,9,7
CEMADEN,260060901U,2019,ALAGOINHA,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,149,144,143,143,143,0.408219178082192,0.394520547945205,0.391780821917808,0.391780821917808,0.391780821917808,214,30,5,5
CEMADEN,260060901U,2022,ALAGOINHA,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,30,29,29,29,28,0.0821917808219178,0.0794520547945206,0.0794520547945206,0.0794520547945206,0.0767123287671233,221,9,2,0
CEMADEN,260070801A,2017,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,43,37,37,35,19,0.117808219178082,0.101369863013699,0.101369863013699,0.0958904109589041,0.052054794520548,327,4,2,1
CEMADEN,260070801A,2018,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,347,340,324,294,1,0.950684931506849,0.931506849315068,0.887671232876712,0.805479452054795,5,108,12,9
CEMADEN,260070801A,2019,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,353,302,289,272,247,0.967123287671233,0.827397260273973,0.791780821917808,0.745205479452055,0.676712328767123,23,119,12,8
CEMADEN,260070801A,2020,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,338,303,286,259,223,0.923497267759563,0.827868852459016,0.781420765027322,0.707650273224044,0.609289617486339,28,90,12,6
CEMADEN,260070801A,2021,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,101,87,87,87,84,0.276712328767123,0.238356164383562,0.238356164383562,0.238356164383562,0.23013698630137,168,52,5,2
CEMADEN,260070801A,2022,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,236,144,140,132,124,0.646575342465753,0.394520547945205,0.383561643835616,0.361643835616438,0.33972602739726,87,70,9,3
CEMADEN,260070801A,2023,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,354,349,342,326,1,0.96986301369863,0.956164383561644,0.936986301369863,0.893150684931507,3,127,12,11
CEMADEN,260070801A,2024,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,355,324,318,314,299,0.969945355191257,0.885245901639344,0.868852459016394,0.85792349726776,0.816939890710383,11,113,12,8
CEMADEN,260070801A,2025,ALIANCA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,268,267,267,266,266,0.734246575342466,0.731506849315069,0.731506849315069,0.728767123287671,0.728767123287671,98,133,9,9
CEMADEN,260080701A,2017,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,365,365,364,355,1,1,1,0.997260273972603,0.972602739726027,1,160,12,12
CEMADEN,260080701A,2018,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,364,363,361,350,1,0.997260273972603,0.994520547945205,0.989041095890411,0.958904109589041,2,114,12,12
CEMADEN,260080701A,2019,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,361,345,343,341,318,0.989041095890411,0.945205479452055,0.93972602739726,0.934246575342466,0.871232876712329,5,121,12,11
CEMADEN,260080701A,2020,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,366,362,360,358,333,1,0.989071038251366,0.983606557377049,0.978142076502732,0.909836065573771,2,121,12,12
CEMADEN,260080701A,2021,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,281,280,279,278,265,0.76986301369863,0.767123287671233,0.764383561643836,0.761643835616438,0.726027397260274,86,107,10,9
CEMADEN,260080701A,2022,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,104,100,99,98,91,0.284931506849315,0.273972602739726,0.271232876712329,0.268493150684932,0.249315068493151,101,47,5,2
CEMADEN,260080701A,2023,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,325,317,316,310,296,0.89041095890411,0.868493150684932,0.865753424657534,0.849315068493151,0.810958904109589,39,119,11,9
CEMADEN,260080701A,2024,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,358,340,335,330,322,0.978142076502732,0.92896174863388,0.915300546448087,0.901639344262295,0.879781420765027,9,119,12,11
CEMADEN,260080701A,2025,Prefeitura,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,272,216,212,208,198,0.745205479452055,0.591780821917808,0.580821917808219,0.56986301369863,0.542465753424658,30,76,12,5
CEMADEN,260080701C,2018,ALTINHO,PLUVIOMETRICA_AUTOMATICA,,60,24,ALTA,FALSE,365,117,101,101,100,96,0.32054794520548,0.276712328767123,0.276712328767123,0.273972602739726,0.263013698630137,190,5,7,2
CEMADEN,260080701C,2019,ALTINHO,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,312,260,257,255,253,0.854794520547945,0.712328767123288,0.704109589041096,0.698630136986301,0.693150684931507,73,89,12,7
CEMADEN,260080701C,2020,ALTINHO,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,366,366,271,264,258,253,1,0.740437158469945,0.721311475409836,0.704918032786885,0.691256830601093,61,122,12,8
CEMADEN,260080701C,2021,ALTINHO,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,75,2,2,1,1,0.205479452054795,0.00547945205479452,0.00547945205479452,0.00273972602739726,0.00273972602739726,305,1,3,0
CEMADEN,260080701C,2022,ALTINHO,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,125,125,124,124,124,0.342465753424658,0.342465753424658,0.33972602739726,0.33972602739726,0.33972602739726,146,70,5,4
CEMADEN,260080702A,2017,ALTINHO - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,12,11,11,10,4,0.0328767123287671,0.0301369863013699,0.0301369863013699,0.0273972602739726,0.010958904109589,354,3,1,0
CEMADEN,260080702A,2018,ALTINHO - APAC,PLUVIOMETRICA_AUTOMATICA,,60,24,BAIXA,TRUE,365,365,364,362,358,334,1,0.997260273972603,0.991780821917808,0.980821917808219,0.915068493150685,1,102,12,12
