fonte_dados,cod_estacao,nome_estacao,ano,mes,n_esperado_dia,confianca_cadencia,cadencia_inconsistente,n_dias_calendario,n_dias_algum_valor,n_dias_75,n_dias_80,n_dias_90,n_dias_100,prop_algum_valor,prop_75,prop_80,prop_90,prop_100,n_dias_acima_esperado,mes_80pct_dias_90
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,2,24,BAIXA,TRUE,28,28,28,28,27,25,1,1,1,0.964285714285714,0.892857142857143,16,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,3,24,BAIXA,TRUE,31,31,31,31,31,28,1,1,1,1,0.903225806451613,12,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,4,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,14,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,5,24,BAIXA,TRUE,31,31,30,30,29,27,1,0.967741935483871,0.967741935483871,0.935483870967742,0.870967741935484,5,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,6,24,BAIXA,TRUE,30,30,30,30,30,29,1,1,1,1,0.966666666666667,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,7,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,1,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,8,24,BAIXA,TRUE,31,31,31,31,31,29,1,1,1,1,0.935483870967742,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,9,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,10,24,BAIXA,TRUE,31,31,30,30,30,28,1,0.967741935483871,0.967741935483871,0.967741935483871,0.903225806451613,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,11,24,BAIXA,TRUE,30,30,28,28,28,28,1,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,5,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2018,12,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,5,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,1,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,3,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,2,24,BAIXA,TRUE,28,28,28,28,28,26,1,1,1,1,0.928571428571429,12,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,3,24,BAIXA,TRUE,31,31,31,31,31,30,1,1,1,1,0.967741935483871,13,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,4,24,BAIXA,TRUE,30,30,30,30,30,30,1,1,1,1,1,14,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,5,24,BAIXA,TRUE,31,31,31,31,31,31,1,1,1,1,1,5,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,6,24,BAIXA,TRUE,30,30,30,30,30,28,1,1,1,1,0.933333333333333,3,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,7,24,BAIXA,TRUE,31,16,14,14,14,14,0.516129032258065,0.451612903225806,0.451612903225806,0.451612903225806,0.451612903225806,5,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,8,24,BAIXA,TRUE,31,28,1,0,0,0,0.903225806451613,0.032258064516129,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,9,24,BAIXA,TRUE,30,30,0,0,0,0,1,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,10,24,BAIXA,TRUE,31,26,0,0,0,0,0.838709677419355,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,11,24,BAIXA,TRUE,30,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2019,12,24,BAIXA,TRUE,31,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,1,24,ALTA,FALSE,31,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,2,24,ALTA,FALSE,29,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,3,24,ALTA,FALSE,31,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,4,24,ALTA,FALSE,30,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,5,24,ALTA,FALSE,31,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,6,24,ALTA,FALSE,30,0,0,0,0,0,0,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,7,24,ALTA,FALSE,31,25,24,24,24,24,0.806451612903226,0.774193548387097,0.774193548387097,0.774193548387097,0.774193548387097,24,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,8,24,ALTA,FALSE,31,31,31,31,31,31,1,1,1,1,1,31,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,9,24,ALTA,FALSE,30,30,30,30,30,30,1,1,1,1,1,30,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,10,24,ALTA,FALSE,31,31,31,30,29,29,1,1,0.967741935483871,0.935483870967742,0.935483870967742,29,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,11,24,ALTA,FALSE,30,30,30,30,30,30,1,1,1,1,1,30,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2020,12,24,ALTA,FALSE,31,31,31,31,31,31,1,1,1,1,1,31,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,1,24,ALTA,FALSE,31,31,31,31,31,31,1,1,1,1,1,31,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,2,24,ALTA,FALSE,28,28,28,28,28,28,1,1,1,1,1,27,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,3,24,ALTA,FALSE,31,31,31,31,30,28,1,1,1,0.967741935483871,0.903225806451613,28,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,4,24,ALTA,FALSE,30,30,30,29,29,29,1,1,0.966666666666667,0.966666666666667,0.966666666666667,28,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,5,24,ALTA,FALSE,31,26,23,23,23,22,0.838709677419355,0.741935483870968,0.741935483870968,0.741935483870968,0.709677419354839,20,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,6,24,ALTA,FALSE,30,4,0,0,0,0,0.133333333333333,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,7,24,ALTA,FALSE,31,12,0,0,0,0,0.387096774193548,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,8,24,ALTA,FALSE,31,7,0,0,0,0,0.225806451612903,0,0,0,0,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,9,24,ALTA,FALSE,30,4,3,3,3,3,0.133333333333333,0.1,0.1,0.1,0.1,0,FALSE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,10,24,ALTA,FALSE,31,31,30,30,29,27,1,0.967741935483871,0.967741935483871,0.935483870967742,0.870967741935484,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,11,24,ALTA,FALSE,30,30,30,30,30,30,1,1,1,1,1,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2021,12,24,ALTA,FALSE,31,31,31,30,30,30,1,1,0.967741935483871,0.967741935483871,0.967741935483871,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,1,24,ALTA,FALSE,31,31,31,31,31,27,1,1,1,1,0.870967741935484,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,2,24,ALTA,FALSE,28,28,28,28,28,27,1,1,1,1,0.964285714285714,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,3,24,ALTA,FALSE,31,31,31,31,31,30,1,1,1,1,0.967741935483871,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,4,24,ALTA,FALSE,30,30,30,30,30,29,1,1,1,1,0.966666666666667,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,5,24,ALTA,FALSE,31,31,31,31,31,31,1,1,1,1,1,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,6,24,ALTA,FALSE,30,30,28,27,27,26,1,0.933333333333333,0.9,0.9,0.866666666666667,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,7,24,ALTA,FALSE,31,31,30,30,29,19,1,0.967741935483871,0.967741935483871,0.935483870967742,0.612903225806452,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,8,24,ALTA,FALSE,31,31,31,31,31,30,1,1,1,1,0.967741935483871,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,9,24,ALTA,FALSE,30,30,30,30,30,30,1,1,1,1,1,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,10,24,ALTA,FALSE,31,31,28,28,28,28,1,0.903225806451613,0.903225806451613,0.903225806451613,0.903225806451613,0,TRUE
CEMADEN,260010401A,AFOGADOS DA INGAZEIRA - APAC,2022,11,24,ALTA,FALSE,30,30,30,30,30,29,1,1,1,1,0.966666666666667,0,TRUE
