fonte_dados,cod_estacao,nome_estacao,ano,datahora_local,precipitacao_mm,arquivo_origem
INMET,82797,SURUBIM,2020,2020-03-19T00:00:00Z,70.4,dados_82797_H_2017-01-01_2025-12-31.csv
INMET,82886,CABROBO,2020,2020-04-23T12:00:00Z,70.2,dados_82886_H_2017-01-01_2025-07-01.csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T19:00:00Z,69.86,data(104).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-17T17:40:00Z,69.86,data(81).csv
INMET,A329,CABROBO,2022,2022-11-04T06:00:00Z,69.6,dados_A329_H_2017-01-01_2025-12-31.csv
CEMADEN,260960003A,Bonsucesso,2024,2024-07-07T16:00:00Z,69.44,data(96).csv
INMET,82753,OURICURI,2019,2019-03-22T12:00:00Z,69.4,dados_82753_H_2017-01-01_2025-12-31.csv
INMET,82890,ARCO VERDE,2021,2021-04-15T00:00:00Z,69.4,dados_82890_H_2017-01-01_2025-12-31.csv
CEMADEN,260130001A,Centro,2025,2025-06-09T18:50:00Z,69.02,data(107).csv
CEMADEN,261430301A,MOREILANDIA - APAC,2021,2021-04-22T12:30:00Z,68.6,data(57).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T17:50:00Z,68.39,data(104).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-05-03T18:30:00Z,68.39,data(82).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-17T18:20:00Z,68.19,data(81).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-28T17:00:00Z,68.19,data(81).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-05-02T11:40:00Z,67.98,data(82).csv
INMET,82797,SURUBIM,2018,2018-03-01T00:00:00Z,67.8,dados_82797_H_2017-01-01_2025-12-31.csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T18:20:00Z,67.56,data(104).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-20T18:50:00Z,67.56,data(81).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T17:20:00Z,67.35,data(104).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T17:00:00Z,66.93,data(104).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T18:10:00Z,66.72,data(104).csv
INMET,82900,RECIFE (CURADO),2020,2020-06-14T12:00:00Z,66.7,dados_82900_H_2017-01-01_2020-08-31.csv
INMET,A349,IBIMIRIM,2020,2020-02-03T09:00:00Z,66.4,dados_A349_H_2017-01-01_2025-12-31.csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T16:50:00Z,66.3,data(104).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T18:40:00Z,66.09,data(104).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T17:30:00Z,65.67,data(104).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T17:40:00Z,65.67,data(104).csv
CEMADEN,260795001A,jaqueira01,2025,2025-05-28T15:20:00Z,65.46,data(106).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T18:50:00Z,65.46,data(104).csv
INMET,82890,ARCO VERDE,2020,2020-03-30T00:00:00Z,65.4,dados_82890_H_2017-01-01_2025-12-31.csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T17:10:00Z,65.04,data(104).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-27T18:50:00Z,64.83,data(81).csv
CEMADEN,260620002A,Centro,2022,2022-05-24T17:20:00Z,64.4,data(70).csv
INMET,82886,CABROBO,2021,2021-02-27T12:00:00Z,64.4,dados_82886_H_2017-01-01_2025-07-01.csv
INMET,82900,RECIFE (CURADO),2019,2019-06-13T12:00:00Z,64,dados_82900_H_2017-01-01_2020-08-31.csv
INMET,82753,OURICURI,2018,2018-03-31T12:00:00Z,63.8,dados_82753_H_2017-01-01_2025-12-31.csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-23T19:00:00Z,63.57,data(81).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-05-03T16:20:00Z,63.57,data(82).csv
INMET,82753,OURICURI,2017,2017-11-14T12:00:00Z,63.2,dados_82753_H_2017-01-01_2025-12-31.csv
INMET,82886,CABROBO,2022,2022-03-28T12:00:00Z,63.2,dados_82886_H_2017-01-01_2025-07-01.csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T19:20:00Z,63.15,data(104).csv
CEMADEN,260620002A,Centro,2022,2022-05-24T19:20:00Z,62.2,data(70).csv
INMET,82890,ARCO VERDE,2018,2018-02-23T12:00:00Z,62.2,dados_82890_H_2017-01-01_2025-12-31.csv
INMET,82900,RECIFE (CURADO),2020,2020-03-16T12:00:00Z,61.1,dados_82900_H_2017-01-01_2020-08-31.csv
INMET,82886,CABROBO,2021,2021-12-27T12:00:00Z,61,dados_82886_H_2017-01-01_2025-07-01.csv
INMET,82900,RECIFE (CURADO),2017,2017-05-29T12:00:00Z,60.8,dados_82900_H_2017-01-01_2020-08-31.csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-12T15:40:00Z,60.63,data(97).csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-12T15:50:00Z,60.63,data(97).csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-13T15:40:00Z,60.63,data(97).csv
CEMADEN,260345404A,Jardim Primavera,2024,2024-04-29T10:00:00Z,60.42,data(93).csv
CEMADEN,260410608A,CARUARU - APAC,2020,2020-01-22T14:50:00Z,59.79,data(42).csv
INMET,82983,PETROLINA,2021,2021-04-23T12:00:00Z,59.4,dados_82983_H_2017-01-01_2025-12-31.csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-05-01T17:30:00Z,59.37,data(82).csv
CEMADEN,260790104A,Prazeres,2025,2025-10-02T10:30:00Z,58.53,data(111).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-25T19:10:00Z,58.32,data(81).csv
CEMADEN,260795004H,Rio Una,2025,2025-02-02T18:30:00Z,58.2,data(103).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-29T17:20:00Z,58.11,data(81).csv
