fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude_ref,longitude_ref,amplitude_lat,amplitude_lon,flag_coordenada_variavel,primeiro_ano,ultimo_ano,n_anos_com_dados,n_anos_12_meses,n_anos_300_dias,n_anos_330_dias,media_dias_com_registro,menor_prop_registros_com_valor,media_prop_registros_com_valor,cod_estacao_mp10,estacao_mp10,municipio_mp10,latitude_mp10,longitude_mp10,distancia_km,faixa_distancia
CEMADEN,261240601C,SANHARÓ,SANHARÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.3848,-8.23046,-36.58935,-36.35219,36262,2017-01-10T07:50:00Z,2024-06-24T07:00:00Z,2017;2018;2019;2020;2023;2024,0,0,2,0,-8.30763,-36.47077,0.154339999999999,0.237160000000003,TRUE,2017,2024,6,3,2,1,191.166666666667,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,160.966080330462,>50 km
CEMADEN,260825501A,JUCATI - APAC,JUCATI,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.698208,-8.698208,-36.467869,-36.467869,20603,2019-10-01T12:10:00Z,2025-12-31T23:00:00Z,2019;2022;2023;2024;2025,0,0,1062,0,-8.698208,-36.467869,0,0,FALSE,2019,2025,5,3,3,3,224,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,162.342003135647,>50 km
CEMADEN,260470001A,Centro,CORRENTES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-9.128,-9.128,-36.329,-36.329,90183,2017-01-01T03:00:00Z,2025-11-30T17:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,318,0,-9.128,-36.329,0,0,FALSE,2017,2025,9,7,9,7,348.111111111111,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,163.316743458253,>50 km
CEMADEN,260800801C,JATAUBA,JATAÚBA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.007666,-8.007666,-36.444277,-36.444277,31867,2017-02-19T19:40:00Z,2025-12-02T02:00:00Z,2017;2018;2019;2020;2023;2025,0,0,1496,0,-8.007666,-36.444277,0,0,FALSE,2017,2025,6,2,2,2,219.333333333333,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,164.694564624717,>50 km
CEMADEN,260600203A,G2-260600203A | G2-Secretaria de Obras,GARANHUNS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.8745,-8.873997,-36.466,-36.46541,3953,2025-09-02T12:10:00Z,2025-12-31T23:10:00Z,2025,0,0,1536,0,-8.8742485,-36.465705,0.000503000000000142,0.000590000000002533,FALSE,2025,2025,1,0,0,0,61,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,166.609007711025,>50 km
CEMADEN,260600202A,G2-260600202A | G2-Centro de Zoonoses,GARANHUNS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.909192,-8.909192,-36.473196,-36.473196,3925,2025-09-02T14:50:00Z,2025-12-31T23:10:00Z,2025,0,0,1526,0,-8.909192,-36.473196,0,0,FALSE,2025,2025,1,0,0,0,61,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,168.543386211793,>50 km
CEMADEN,260600204A,G2-260600204A | G2-COHAB III,GARANHUNS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.863861,-8.8637,-36.501464,-36.50121,3872,2025-09-03T12:30:00Z,2025-12-31T23:10:00Z,2025,0,0,1532,0,-8.8637805,-36.501337,0.0001610000000003,0.0002539999999982,FALSE,2025,2025,1,0,0,0,60.5,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,170.043068179163,>50 km
CEMADEN,261240602A,SANHARO - APAC,SANHARÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.35653,-8.35653,-36.55844,-36.55844,17918,2017-11-29T20:20:00Z,2019-11-20T12:50:00Z,2017;2018;2019,0,0,0,0,-8.35653,-36.55844,0,0,FALSE,2017,2019,3,1,2,1,237,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,170.163959168608,>50 km
CEMADEN,260470001C,CORRENTES,CORRENTES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-9.178888,-9.178888,-36.373361,-36.373361,32294,2017-01-07T16:50:00Z,2020-04-27T15:00:00Z,2017;2018;2019;2020,0,0,0,0,-9.178888,-36.373361,0,0,FALSE,2017,2020,4,1,2,2,239,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,170.279537400476,>50 km
CEMADEN,261240601A,Centro | COMPESA,SANHARÓ,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.359,-8.35665,-36.564,-36.55842,87111,2017-01-01T03:00:00Z,2025-12-31T12:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1472,0,-8.357825,-36.56121,0.00234999999999985,0.00558000000000192,FALSE,2017,2025,9,8,8,7,324.2,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,170.459772152039,>50 km
