criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,estacao_historica,ano_alvo,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,229,198,63.4615384615385,0.829714409008333,0.799320970894522,0.833656111375334,0.795891016306667,1683.6,1598.89,0.949685198384414,-0.369912663755459,4.19803493449782,8.99341430566626,-0.741919191919192,4.2759595959596,9.25253118521269,0.829694323144105,0.778409090909091,0.820960698689956,0.713286713286713,IPOJUCA,2025,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,15.7473789123554,260290203A,Torrinha,17.5366564871593
max_gap_60min,0,0,0,,,,,,,,,,,,,,,,,,IPOJUCA,2025,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,15.7473789123554,260290201G,Pirapama,18.807621519499
max_gap_60min,76,59,18.9102564102564,0.794365533802881,0.757686675214738,0.835815935686358,0.744895752008685,731.31,874.95,1.19641465315666,1.89,6.33,11.4779990920846,1.86593220338983,5.94050847457627,10.9150829402813,0.907894736842105,0.890625,0.842105263157895,0.789473684210526,IPOJUCA,2025,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,15.7473789123554,261420401A,Centro,19.951784019321
max_gap_60min,277,239,76.6025641025641,0.94549390404524,0.875462999728558,0.949923823943115,0.856193543667398,1848.19,1583.06,0.856546134326016,-0.957148014440433,2.30090252707581,4.54138479015755,-0.790209205020921,2.17615062761506,4.25640742693888,0.848375451263538,0.786802030456853,0.895306859205776,0.805369127516778,IPOJUCA,2025,260290202A,Charneca,16.9717066153013,260290203A,Torrinha,17.5366564871593
max_gap_60min,0,0,0,,,,,,,,,,,,,,,,,,IPOJUCA,2025,260290202A,Charneca,16.9717066153013,260290201G,Pirapama,18.807621519499
max_gap_60min,85,65,20.8333333333333,0.705288179715265,0.792843359251979,0.713014474764518,0.771406798367545,892.82,1030.55,1.15426401738312,1.62035294117647,8.04576470588235,13.647336348598,2.03046153846154,7.50707692307692,13.6111126544566,0.882352941176471,0.861111111111111,0.858823529411765,0.80952380952381,IPOJUCA,2025,260290202A,Charneca,16.9717066153013,261420401A,Centro,19.951784019321
max_gap_60min,0,0,0,,,,,,,,,,,,,,,,,,IPOJUCA,2025,260290203A,Torrinha,17.5366564871593,260290201G,Pirapama,18.807621519499
max_gap_60min,81,62,19.8717948717949,0.626626394892877,0.719874831378092,0.650088014197308,0.712409842527862,746.15,1025.39,1.37424110433559,3.44740740740741,8.49308641975309,15.0721738542042,3.2558064516129,7.96903225806452,14.8320181125268,0.91358024691358,0.898550724637681,0.864197530864198,0.819672131147541,IPOJUCA,2025,260290203A,Torrinha,17.5366564871593,261420401A,Centro,19.951784019321
max_gap_60min,0,0,0,,,,,,,,,,,,,,,,,,IPOJUCA,2025,260290201G,Pirapama,18.807621519499,261420401A,Centro,19.951784019321
max_gap_70min,344,297,95.1923076923077,0.925872431563198,0.741903512406812,0.931367747044976,0.718738027819305,1790.4,1960.01,1.09473302055407,0.493052325581395,2.80566860465116,6.15124342223057,0.40979797979798,2.6940404040404,6.08778754877806,0.758720930232558,0.643776824034335,0.816860465116279,0.64,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720804A,Rurópolis,7.14376732272583
max_gap_70min,337,290,92.9487179487179,0.750750603145249,0.723260410314418,0.761379704906716,0.729954267453823,1462.4,1296.59,0.886617888402626,-0.492017804154303,2.67213649851632,6.85341559671134,-0.434862068965517,2.56851724137931,6.80812265884884,0.786350148367952,0.682819383259912,0.801186943620178,0.583850931677019,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720801A,Centro,7.32836097674827
max_gap_70min,153,127,40.7051282051282,0.798306140789247,0.799756242914257,0.793116978413248,0.770026827008574,1287.8,1362.91,1.05832427395558,0.490915032679738,4.83915032679739,9.13653446835852,0.170787401574803,5.12763779527559,9.70977472431005,0.862745098039216,0.837209302325582,0.816993464052288,0.738317757009346,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260290204A,Enseado dos Corais,14.1521806232538
max_gap_70min,276,237,75.9615384615385,0.930516728267264,0.866039644237431,0.944487093609038,0.85779682227333,1582.6,2136.44,1.34995576898774,2.00666666666667,3.01355072463768,6.54378928915575,1.91848101265823,2.8010970464135,6.05013358990495,0.858695652173913,0.816037735849057,0.851449275362319,0.753012048192771,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,15.7473789123554
max_gap_70min,341,295,94.5512820512821,0.888044270735543,0.844486602039026,0.891902167976993,0.83320903401186,1772,2590.44,1.46187358916479,2.40011730205279,3.74322580645161,8.28307665932663,2.17752542372881,3.57596610169492,8.18720988876625,0.847507331378299,0.789473684210526,0.824046920821114,0.696969696969697,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260290202A,Charneca,16.9717066153013
max_gap_70min,343,296,94.8717948717949,0.871656090621236,0.814999593086446,0.877055598575586,0.805582065481593,1755,2186.38,1.24580056980057,1.25766763848397,3.34,6.97430611405857,1.15158783783784,3.20483108108108,6.94179836404278,0.830903790087464,0.768924302788845,0.85131195335277,0.73015873015873,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260290203A,Torrinha,17.5366564871593
max_gap_70min,1,1,0.320512820512821,,,,,3.6,114.4,31.7777777777778,110.8,110.8,110.8,110.8,110.8,110.8,1,1,1,1,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,260290201G,Pirapama,18.807621519499
max_gap_70min,100,78,25,0.76370623525799,0.816878293949052,0.780318277119986,0.814217569159498,850.6,1213.92,1.42713378791441,3.6332,6.726,11.8462410071719,3.30846153846154,6.41794871794872,11.5261864620947,0.92,0.908045977011494,0.88,0.844155844155844,IPOJUCA,2025,260720801G,Campo do Avião,6.92640747959743,261420401A,Centro,19.951784019321
max_gap_70min,326,281,90.0641025641026,0.509805694597949,0.436535454188396,0.518517279207995,0.427327130330843,1466.28,1239.79,0.84553427721854,-0.694754601226994,4.49684049079755,11.0936242535861,-0.56017793594306,4.37946619217082,11.0976368713395,0.680981595092025,0.502392344497608,0.711656441717791,0.38961038961039,IPOJUCA,2025,260720804A,Rurópolis,7.14376732272583,260720801A,Centro,7.32836097674827
max_gap_70min,143,119,38.1410256410256,0.722204739054063,0.682893080163431,0.712358249538476,0.643759528499824,1249.28,1293.34,1.03526831454918,0.308111888111888,6.16097902097902,13.2375172497362,-0.0538655462184875,6.50798319327731,14.2150436646025,0.769230769230769,0.71304347826087,0.699300699300699,0.57,IPOJUCA,2025,260720804A,Rurópolis,7.14376732272583,260290204A,Enseado dos Corais,14.1521806232538
max_gap_70min,262,226,72.4358974358974,0.876157125530929,0.714632639771457,0.874120765172252,0.704901411230133,1550.74,2010.62,1.29655519300463,1.75526717557252,3.79175572519084,7.72296842032738,1.69730088495575,3.76455752212389,7.86681427352644,0.725190839694657,0.628865979381443,0.774809160305344,0.611842105263158,IPOJUCA,2025,260720804A,Rurópolis,7.14376732272583,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,15.7473789123554
max_gap_70min,326,284,91.025641025641,0.84102106030911,0.67764572690202,0.854057639553366,0.666698414564552,1837.42,2406.63,1.30978763701277,1.74604294478528,4.09033742331288,9.00575799107799,1.62929577464789,3.89077464788732,8.75737049736786,0.708588957055215,0.592274678111588,0.742331288343558,0.550802139037433,IPOJUCA,2025,260720804A,Rurópolis,7.14376732272583,260290202A,Charneca,16.9717066153013
