estacao_historica,ano_alvo,data_local,cod_estacao,nome_estacao,municipios,distancia_km,precip_diaria_final_mm,n_registros_final,n_registros_00h_relocados,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao_final,flag_borda_2025
IPOJUCA,2025,2025-06-01,261420401A,Centro,SIRINHAÉM,19.951784019321,1.37,25,1,0.59,25,60,TRUE,TRUE,TRUE,TRUE,16.5510476190476,TRUE,FALSE
IPOJUCA,2025,2025-06-02,261420401A,Centro,SIRINHAÉM,19.951784019321,6.18,25,1,6.18,25,60,TRUE,TRUE,TRUE,TRUE,26.344125,TRUE,FALSE
IPOJUCA,2025,2025-06-03,261420401A,Centro,SIRINHAÉM,19.951784019321,6.95,31,1,2.36,31,60,TRUE,TRUE,TRUE,TRUE,27.32175,TRUE,FALSE
IPOJUCA,2025,2025-06-04,261420401A,Centro,SIRINHAÉM,19.951784019321,30.99,49,1,6.49,49,60,TRUE,TRUE,TRUE,TRUE,18.9695416666667,TRUE,FALSE
IPOJUCA,2025,2025-06-05,261420401A,Centro,SIRINHAÉM,19.951784019321,7.55,33,1,2.16,33,60,TRUE,TRUE,TRUE,TRUE,18.9084583333333,TRUE,FALSE
IPOJUCA,2025,2025-06-06,261420401A,Centro,SIRINHAÉM,19.951784019321,10.08,32,1,2.95,32,130,FALSE,FALSE,FALSE,TRUE,25.0664285714286,TRUE,FALSE
IPOJUCA,2025,2025-06-07,261420401A,Centro,SIRINHAÉM,19.951784019321,2.96,28,1,1.18,28,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-06-08,261420401A,Centro,SIRINHAÉM,19.951784019321,1.81,30,1,0.42,30,60,TRUE,TRUE,TRUE,TRUE,15.6394285714286,TRUE,FALSE
IPOJUCA,2025,2025-06-09,261420401A,Centro,SIRINHAÉM,19.951784019321,5.38,24,1,3.99,24,150,FALSE,FALSE,FALSE,TRUE,17.7709,TRUE,FALSE
IPOJUCA,2025,2025-06-10,261420401A,Centro,SIRINHAÉM,19.951784019321,29.29,35,1,7.34,35,90,FALSE,FALSE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-06-11,261420401A,Centro,SIRINHAÉM,19.951784019321,6.9,24,1,6.5,24,180,FALSE,FALSE,FALSE,TRUE,24.6563333333333,TRUE,FALSE
IPOJUCA,2025,2025-06-12,261420401A,Centro,SIRINHAÉM,19.951784019321,4.99,32,1,1.58,32,60,TRUE,TRUE,TRUE,TRUE,21.3277083333333,TRUE,FALSE
IPOJUCA,2025,2025-06-13,261420401A,Centro,SIRINHAÉM,19.951784019321,5.98,34,1,1.77,34,60,TRUE,TRUE,TRUE,TRUE,20.255,TRUE,FALSE
IPOJUCA,2025,2025-06-14,261420401A,Centro,SIRINHAÉM,19.951784019321,54.59,61,1,5.71,61,60,TRUE,TRUE,TRUE,TRUE,14.7532916666667,TRUE,FALSE
IPOJUCA,2025,2025-06-15,261420401A,Centro,SIRINHAÉM,19.951784019321,25.01,43,1,3.74,43,60,TRUE,TRUE,TRUE,TRUE,12.1390416666667,TRUE,FALSE
IPOJUCA,2025,2025-06-16,261420401A,Centro,SIRINHAÉM,19.951784019321,0.4,26,1,0.2,26,60,TRUE,TRUE,TRUE,TRUE,26.94925,TRUE,FALSE
IPOJUCA,2025,2025-06-17,261420401A,Centro,SIRINHAÉM,19.951784019321,12.92,44,1,2.36,44,140,FALSE,FALSE,FALSE,TRUE,13.316125,TRUE,FALSE
IPOJUCA,2025,2025-06-18,261420401A,Centro,SIRINHAÉM,19.951784019321,17.34,37,1,4.72,37,130,FALSE,FALSE,FALSE,TRUE,22.062875,TRUE,FALSE
