estacao_historica,ano_alvo,data_local,cod_estacao,nome_estacao,municipios,distancia_km,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,precip_diaria_mm,precip_diaria_mm_sens_midnight,n_registros_validos,n_registros_chuva,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao,diferenca_midnight_mm
CUPE,2021,2021-03-24,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,36.6,36.6,49,31,5,49,70,FALSE,TRUE,TRUE,TRUE,8.01954545454545,TRUE,7.105427357601e-15
CUPE,2021,2021-03-25,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.6,0.6,25,2,0.4,25,60,TRUE,TRUE,TRUE,TRUE,9.90217391304348,TRUE,0
CUPE,2021,2021-03-26,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,14.8,14.8,33,11,5.6,33,60,TRUE,TRUE,TRUE,TRUE,8.34454545454545,TRUE,1.77635683940025e-15
CUPE,2021,2021-03-27,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,21.8,22,34,14,9.6,34,70,FALSE,TRUE,TRUE,TRUE,5.5975,TRUE,0.199999999999996
CUPE,2021,2021-03-28,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,36.2,36,40,22,7.8,40,70,FALSE,TRUE,TRUE,TRUE,8.24652173913043,TRUE,-0.200000000000003
CUPE,2021,2021-03-29,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,5.2,5.2,33,11,1.2,33,60,TRUE,TRUE,TRUE,TRUE,8.86,TRUE,0
CUPE,2021,2021-03-30,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,14.8,14.8,35,15,7.4,35,70,FALSE,TRUE,TRUE,TRUE,9.66260869565217,TRUE,-1.77635683940025e-15
CUPE,2021,2021-03-31,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,19.3608333333333,TRUE,0
CUPE,2021,2021-04-01,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,25.02,TRUE,0
CUPE,2021,2021-04-02,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,1.6,1.6,26,3,1.2,26,60,TRUE,TRUE,TRUE,TRUE,13.9579166666667,TRUE,-2.22044604925031e-16
CUPE,2021,2021-04-03,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.8,0.8,25,1,0.8,25,60,TRUE,TRUE,TRUE,TRUE,16.5675,TRUE,0
CUPE,2021,2021-04-04,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,12.2,12.2,34,12,3.6,34,70,FALSE,TRUE,TRUE,TRUE,10.4070833333333,TRUE,0
CUPE,2021,2021-04-05,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,1.6,1.6,25,4,1,25,70,FALSE,TRUE,TRUE,TRUE,12.5691666666667,TRUE,-2.22044604925031e-16
CUPE,2021,2021-04-06,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.2,0.2,25,1,0.2,25,60,TRUE,TRUE,TRUE,TRUE,10.5269565217391,TRUE,0
CUPE,2021,2021-04-07,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,10.5252173913043,TRUE,0
CUPE,2021,2021-04-08,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,14.6366666666667,TRUE,0
CUPE,2021,2021-04-09,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,14,14,36,16,6.6,36,70,FALSE,TRUE,TRUE,TRUE,16.7908333333333,TRUE,-5.32907051820075e-15
CUPE,2021,2021-04-10,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,81.4,85.4,66,51,7.8,66,60,TRUE,TRUE,TRUE,TRUE,6.30590909090909,TRUE,4.00000000000004
CUPE,2021,2021-04-11,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,124.2,120.2,90,82,11,90,60,TRUE,TRUE,TRUE,TRUE,5.34086956521739,TRUE,-4
CUPE,2021,2021-04-12,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0.2,0.2,11,1,0.2,11,520,FALSE,FALSE,FALSE,TRUE,9.02565217391304,TRUE,0
CUPE,2021,2021-04-13,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,22,0,0,22,220,FALSE,FALSE,FALSE,TRUE,10.33625,TRUE,0
CUPE,2021,2021-04-14,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,36.8,36.8,41,23,11.2,41,60,TRUE,TRUE,TRUE,TRUE,8.17,TRUE,1.4210854715202e-14
CUPE,2021,2021-04-15,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,48.2,48.2,50,37,9.4,50,70,FALSE,TRUE,TRUE,TRUE,8.10909090909091,TRUE,2.1316282072803e-14
CUPE,2021,2021-04-16,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,0,0,24,0,0,24,60,TRUE,TRUE,TRUE,TRUE,12.3929166666667,TRUE,0
CUPE,2021,2021-04-17,260720801G,Campo do Avião,IPOJUCA,1.69909448841243,100,59.9423631123919,89.3371757925072,94.2363112391931,26.6,26.6,30,7,13.2,30,60,TRUE,TRUE,TRUE,TRUE,10.8326086956522,TRUE,0
