criterio,n_dias_comuns,n_dias_comuns_mp10,pct_dias_mp10_comuns,correlacao_pearson,correlacao_spearman,correlacao_pearson_mp10,correlacao_spearman_mp10,media_a_mm,media_b_mm,total_a_comum_mm,total_b_comum_mm,razao_total_b_a,vies_b_menos_a_mm,mae_mm,rmse_mm,mediana_abs_diff_mm,vies_b_menos_a_mp10_mm,mae_mp10_mm,rmse_mp10_mm,acordo_chuva_maior_0,jaccard_chuva_maior_0,acordo_chuva_maior_igual_1mm,jaccard_chuva_maior_igual_1mm,estacao_historica,ano_alvo,cod_estacao_a,nome_estacao_a,distancia_a_km,cod_estacao_b,nome_estacao_b,distancia_b_km
max_gap_60min,60,58,16.7146974063401,0.925913518822053,0.802203222459819,0.942555030675422,0.805551452941428,5.25233333333333,7.32716666666667,315.14,439.63,1.39503077997081,2.07483333333333,4.77616666666667,13.206717167159,0.695,2.46413793103448,4.62310344827586,13.2947351518795,0.883333333333333,0.825,0.85,0.727272727272727,CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155,260290204A,Enseado dos Corais,12.1770872579976
max_gap_60min,68,66,19.0201729106628,0.778176169313334,0.820804772288539,0.790359161693174,0.830158246616545,5.11808823529412,4.92294117647059,348.03,334.76,0.961871103065828,-0.195147058823529,3.39985294117647,7.76373555100136,0.95,0.051060606060606,3.25075757575758,7.67669663410775,0.882352941176471,0.826086956521739,0.823529411764706,0.707317073170732,CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155,260290203A,Torrinha,12.3419267993948
max_gap_60min,12,12,3.45821325648415,0.985898405303532,0.916854777742493,0.985898405303532,0.916854777742493,10.2658333333333,18.8333333333333,123.19,226,1.83456449387126,8.5675,10.0141666666667,22.2671254319007,1.18,8.5675,10.0141666666667,22.2671254319007,0.75,0.7,0.833333333333333,0.75,CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155,260290201G,Pirapama,13.0597386932039
max_gap_60min,70,68,19.5965417867435,,,,,5.523,0,386.61,0,0,-5.523,5.523,11.854280781943,0.91,-5.35926470588235,5.35926470588235,11.8453888397429,0.342857142857143,0,0.5,0,CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155,260720802A,Camela,15.3107152412702
max_gap_60min,70,68,19.5965417867435,0.740076255117541,0.728133088732101,0.749222697404132,0.718600485498533,4.75742857142857,4.09828571428572,333.02,286.88,0.86144976277701,-0.659142857142857,3.14314285714286,7.44070234780101,0.7,-0.492205882352941,3.03838235294118,7.38171937168794,0.785714285714286,0.6875,0.785714285714286,0.625,CUPE,2021,260720805A,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,10.642748652155,260290205A,Pontes dos Carvalhos,19.6094816469432
max_gap_60min,138,133,38.328530259366,0.910658669547424,0.665784024063536,0.911046993621474,0.678923621134399,7.08449275362319,7.83804347826087,977.66,1081.65,1.10636622138576,0.753550724637681,4.45021739130435,8.02816550055788,1.185,0.727368421052631,4.53278195488722,8.14046940325085,0.739130434782609,0.669724770642202,0.768115942028986,0.623529411764706,CUPE,2021,260290202A,Charneca,11.2832131026728,260290204A,Enseado dos Corais,12.1770872579976
max_gap_60min,166,159,45.821325648415,0.919170095999403,0.856151828201778,0.922201771250873,0.8594803231052,7.57012048192771,7.24349397590362,1256.64,1202.42,0.956853195823784,-0.326626506024096,3.2466265060241,7.76532778848714,0.98,-0.459685534591195,3.25100628930818,7.79296178991784,0.831325301204819,0.772357723577236,0.831325301204819,0.705263157894737,CUPE,2021,260290202A,Charneca,11.2832131026728,260290203A,Torrinha,12.3419267993948
max_gap_60min,97,94,27.0893371757925,0.971096499586117,0.843375880384389,0.970986176123808,0.840878484357334,6.48412371134021,6.2680412371134,628.96,608,0.966675146273213,-0.216082474226804,1.85505154639175,4.62302328892002,0.4,-0.222978723404255,1.91425531914894,4.69621554291665,0.845360824742268,0.769230769230769,0.824742268041237,0.638297872340426,CUPE,2021,260290202A,Charneca,11.2832131026728,260290201G,Pirapama,13.0597386932039
max_gap_60min,150,144,41.4985590778098,0.202875248706019,0.103028013894097,0.208067826542051,0.126927057885834,7.57793333333333,0.973066666666667,1136.69,145.96,0.128407921245018,-6.60486666666667,7.29273333333333,19.9890824701886,0.785,-6.88916666666667,7.47986111111111,20.383714905123,0.453333333333333,0.145833333333333,0.573333333333333,0.146666666666667,CUPE,2021,260290202A,Charneca,11.2832131026728,260720802A,Camela,15.3107152412702
max_gap_60min,172,165,47.5504322766571,0.867734364946062,0.716509275946898,0.873157099338322,0.718125996889547,7.49220930232558,7.18755813953488,1288.66,1236.26,0.959337606505983,-0.304651162790698,4.56744186046512,9.86329388587148,1.39,-0.506363636363636,4.56818181818182,9.89630922938629,0.755813953488372,0.676923076923077,0.779069767441861,0.638095238095238,CUPE,2021,260290202A,Charneca,11.2832131026728,260290205A,Pontes dos Carvalhos,19.6094816469432
