fonte_dados,cod_estacao,nome_estacao,municipios,tipo_estacao,latitude,longitude,distancia_gaibu_km,faixa_distancia,tipo_regra_anual,criterio_primario_anual,elegivel_pareamento_primario_anual,n_dias_calendario,n_dias_com_valor,n_dias_primario,n_dias_sens_1,n_dias_sens_2,n_dias_convencional,prop_dias_primario,prop_dias_sens_1,prop_dias_sens_2,n_dias_mp10_validos,n_dias_precip_com_valor,n_overlap_primario,n_overlap_sens_1,n_overlap_sens_2,n_overlap_convencional,tipo_regra_mp10,criterio_primario_mp10,elegivel_pareamento_primario_mp10,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,pct_overlap_convencional,estacao_historica,ano_alvo
INMET,82897,TAPACURA,"",CONVENCIONAL,-8.17,-35.18,30.3079932901722,>30-50 km,INMET_CONVENCIONAL,INMET_CONV_24H_PENDENTE_ALINHAMENTO,FALSE,365,0,0,0,0,0,0,0,0,262,0,0,0,0,0,INMET_CONVENCIONAL,INMET_CONV_24H_PENDENTE_ALINHAMENTO,FALSE,0,0,0,0,0,Gaibu,2019
CEMADEN,260520202A,ESCADA - APAC,ESCADA,PLUVIOMETRICA_AUTOMATICA,-8.355833,-35.234167,30.7164646049077,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,333,245,261,273,0,0.671232876712329,0.715068493150685,0.747945205479452,262,250,184,193,205,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,95.4198473282443,70.2290076335878,73.6641221374046,78.2442748091603,0,Gaibu,2019
CEMADEN,260520202H,Escada | Rio Ipojuca,ESCADA,PLUVIOMETRICA_AUTOMATICA,-8.3643,-35.2366,31.0873743922029,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,23,0,0,1,0,0,0,0.00273972602739726,262,23,0,0,1,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,8.77862595419847,0,0,0.381679389312977,0,Gaibu,2019
CEMADEN,260520201A,Jaguaribe,ESCADA,PLUVIOMETRICA_AUTOMATICA,-8.369,-35.241,31.636695622824,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,356,281,293,299,0,0.76986301369863,0.802739726027397,0.819178082191781,262,253,202,211,215,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,96.5648854961832,77.0992366412214,80.5343511450382,82.0610687022901,0,Gaibu,2019
CEMADEN,261160620A,Porto,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.054,-34.873,31.9223857155085,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,359,297,304,311,0,0.813698630136986,0.832876712328767,0.852054794520548,262,256,217,222,226,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,97.7099236641222,82.824427480916,84.7328244274809,86.2595419847328,0,Gaibu,2019
CEMADEN,261160616A,Várzea,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.039,-34.959,32.2470216130765,>30-50 km,,,,,,,,,,,,,262,0,0,0,0,0,,,FALSE,0,0,0,0,0,Gaibu,2019
CEMADEN,261160603G,Brega e Chique,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.038145,-34.9796795,32.4429750325806,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,43,31,32,32,0,0.0849315068493151,0.0876712328767123,0.0876712328767123,262,16,12,12,12,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,6.10687022900763,4.58015267175573,4.58015267175573,4.58015267175573,0,Gaibu,2019
CEMADEN,261160601A,Varzea,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.036,-34.98,32.6835398085341,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,186,156,157,159,0,0.427397260273973,0.43013698630137,0.435616438356164,262,122,99,100,102,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,46.5648854961832,37.7862595419847,38.1679389312977,38.9312977099237,0,Gaibu,2019
CEMADEN,261160623A,RECIFE - APAC,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.04491,-34.87518,32.8258173784651,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,353,291,308,313,0,0.797260273972603,0.843835616438356,0.857534246575342,262,250,200,215,219,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,95.4198473282443,76.3358778625954,82.0610687022901,83.587786259542,0,Gaibu,2019
CEMADEN,261160618A,Torreão,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.037,-34.884,33.4288223001404,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,354,276,288,294,0,0.756164383561644,0.789041095890411,0.805479452054795,262,251,197,206,209,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,95.8015267175572,75.1908396946565,78.6259541984733,79.7709923664122,0,Gaibu,2019
CEMADEN,260345403A,Bairro dos Estados,CAMARAGIBE,PLUVIOMETRICA_AUTOMATICA,-8.026,-34.975,33.7540295441067,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,357,277,291,303,0,0.758904109589041,0.797260273972603,0.83013698630137,262,254,198,208,216,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,96.9465648854962,75.5725190839695,79.3893129770992,82.4427480916031,0,Gaibu,2019
