"id_linha_v1","ano","cod_estacao","no_estacao","dh_medicao","dh_arredondado","nu_concentracao","classe_concentracao","no_fonte_dados","st_situacao","cd_flag","ds_flag","st_situacao_iqar"
163537,2025,"12","IPOJUCA","2025-12-28 10:00:00.000",2025-12-28 10:00:00,-15.559,"negativa","CPRH","IN","V","Válido","VA"
163538,2025,"12","IPOJUCA","2025-12-28 11:00:00.000",2025-12-28 11:00:00,-6.131,"negativa","CPRH","IN","V","Válido","VA"
152615,2025,"13","CUPE","2025-01-23 10:00:00.000",2025-01-23 10:00:00,-4.101,"negativa","CPRH","IN","V","Válido","VA"
152616,2025,"13","CUPE","2025-01-23 11:00:00.000",2025-01-23 11:00:00,-2.173,"negativa","CPRH","IN","V","Válido","VA"
152617,2025,"13","CUPE","2025-01-23 12:00:00.000",2025-01-23 12:00:00,-0.38,"negativa","CPRH","IN","V","Válido","VA"
156326,2025,"13","CUPE","2025-02-12 13:00:00.000",2025-02-12 13:00:00,0,"zero","CPRH","VA","V","Válido","VA"
156220,2025,"13","CUPE","2025-02-12 14:00:00.000",2025-02-12 14:00:00,0,"zero","CPRH","VA","V","Válido","VA"
156221,2025,"13","CUPE","2025-02-12 15:00:00.000",2025-02-12 15:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157289,2025,"13","CUPE","2025-02-12 16:00:00.000",2025-02-12 16:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157139,2025,"13","CUPE","2025-02-12 17:00:00.000",2025-02-12 17:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157140,2025,"13","CUPE","2025-02-12 18:00:00.000",2025-02-12 18:00:00,0,"zero","CPRH","VA","V","Válido","VA"
156454,2025,"13","CUPE","2025-02-12 19:00:00.000",2025-02-12 19:00:00,0,"zero","CPRH","VA","V","Válido","VA"
156994,2025,"13","CUPE","2025-02-12 20:00:00.000",2025-02-12 20:00:00,0,"zero","CPRH","VA","V","Válido","VA"
156995,2025,"13","CUPE","2025-02-12 21:00:00.000",2025-02-12 21:00:00,0,"zero","CPRH","VA","V","Válido","VA"
156996,2025,"13","CUPE","2025-02-12 22:00:00.000",2025-02-12 22:00:00,0,"zero","CPRH","VA","V","Válido","VA"
155973,2025,"13","CUPE","2025-02-12 23:00:00.000",2025-02-12 23:00:00,0,"zero","CPRH","VA","V","Válido","VA"
155974,2025,"13","CUPE","2025-02-13 00:00:00.000",2025-02-13,0,"zero","CPRH","VA","V","Válido","VA"
156997,2025,"13","CUPE","2025-02-13 01:00:00.000",2025-02-13 01:00:00,0,"zero","CPRH","VA","V","Válido","VA"
156998,2025,"13","CUPE","2025-02-13 02:00:00.000",2025-02-13 02:00:00,0,"zero","CPRH","VA","V","Válido","VA"
156999,2025,"13","CUPE","2025-02-13 03:00:00.000",2025-02-13 03:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157000,2025,"13","CUPE","2025-02-13 04:00:00.000",2025-02-13 04:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157001,2025,"13","CUPE","2025-02-13 05:00:00.000",2025-02-13 05:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157002,2025,"13","CUPE","2025-02-13 06:00:00.000",2025-02-13 06:00:00,0,"zero","CPRH","VA","V","Válido","VA"
155934,2025,"13","CUPE","2025-02-13 07:00:00.000",2025-02-13 07:00:00,0,"zero","CPRH","VA","V","Válido","VA"
155931,2025,"13","CUPE","2025-02-13 08:00:00.000",2025-02-13 08:00:00,0,"zero","CPRH","VA","V","Válido","VA"
155932,2025,"13","CUPE","2025-02-13 09:00:00.000",2025-02-13 09:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157348,2025,"13","CUPE","2025-02-13 10:00:00.000",2025-02-13 10:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157349,2025,"13","CUPE","2025-02-13 11:00:00.000",2025-02-13 11:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157003,2025,"13","CUPE","2025-02-13 12:00:00.000",2025-02-13 12:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157004,2025,"13","CUPE","2025-02-13 13:00:00.000",2025-02-13 13:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157005,2025,"13","CUPE","2025-02-13 14:00:00.000",2025-02-13 14:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157006,2025,"13","CUPE","2025-02-13 15:00:00.000",2025-02-13 15:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157007,2025,"13","CUPE","2025-02-13 16:00:00.000",2025-02-13 16:00:00,0,"zero","CPRH","VA","V","Válido","VA"
157008,2025,"13","CUPE","2025-02-13 17:00:00.000",2025-02-13 17:00:00,0,"zero","CPRH","VA","V","Válido","VA"
153908,2025,"14","IFPE","2025-02-01 18:00:00.000",2025-02-01 18:00:00,0,"zero","CPRH","VA","V","Válido","VA"
153909,2025,"14","IFPE","2025-02-01 19:00:00.000",2025-02-01 19:00:00,0,"zero","CPRH","VA","V","Válido","VA"
153910,2025,"14","IFPE","2025-02-01 20:00:00.000",2025-02-01 20:00:00,0,"zero","CPRH","VA","V","Válido","VA"
153911,2025,"14","IFPE","2025-02-01 21:00:00.000",2025-02-01 21:00:00,0,"zero","CPRH","VA","V","Válido","VA"
153912,2025,"14","IFPE","2025-02-01 22:00:00.000",2025-02-01 22:00:00,0,"zero","CPRH","VA","V","Válido","VA"
153913,2025,"14","IFPE","2025-02-01 23:00:00.000",2025-02-01 23:00:00,0,"zero","CPRH","VA","V","Válido","VA"
153914,2025,"14","IFPE","2025-02-02 00:00:00.000",2025-02-02,0,"zero","CPRH","VA","V","Válido","VA"
153915,2025,"14","IFPE","2025-02-02 01:00:00.000",2025-02-02 01:00:00,0,"zero","CPRH","VA","V","Válido","VA"
