estacao_historica,ano_alvo,data_local,papel_precipitacao,cod_precipitacao,nome_precipitacao,distancia_precipitacao_km,precip_diaria_bruta_mm,precip_valida_60,precip_valida_70,precip_valida_90,flag_borda_2025,precip_diaria_analitica_mm
CUPE,2021,2021-05-10,principal,260720801A,Centro,2.31199229299342,13.98,TRUE,TRUE,TRUE,FALSE,13.98
CUPE,2021,2021-05-11,principal,260720801A,Centro,2.31199229299342,12.01,TRUE,TRUE,TRUE,FALSE,12.01
CUPE,2021,2021-05-12,principal,260720801A,Centro,2.31199229299342,4.54,TRUE,TRUE,TRUE,FALSE,4.54
CUPE,2021,2021-05-13,principal,260720801A,Centro,2.31199229299342,204.57,TRUE,TRUE,TRUE,FALSE,204.57
CUPE,2021,2021-05-14,principal,260720801A,Centro,2.31199229299342,38.03,FALSE,FALSE,TRUE,FALSE,
CUPE,2021,2021-05-15,principal,260720801A,Centro,2.31199229299342,3.55,TRUE,TRUE,TRUE,FALSE,3.55
CUPE,2021,2021-05-16,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-05-17,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-05-18,principal,260720801A,Centro,2.31199229299342,0.99,TRUE,TRUE,TRUE,FALSE,0.99
CUPE,2021,2021-05-19,principal,260720801A,Centro,2.31199229299342,0.4,TRUE,TRUE,TRUE,FALSE,0.4
CUPE,2021,2021-05-20,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-05-21,principal,260720801A,Centro,2.31199229299342,6.51,TRUE,TRUE,TRUE,FALSE,6.51
CUPE,2021,2021-05-22,principal,260720801A,Centro,2.31199229299342,0,FALSE,FALSE,FALSE,FALSE,
CUPE,2021,2021-05-23,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-05-24,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-05-25,principal,260720801A,Centro,2.31199229299342,0.82,TRUE,TRUE,TRUE,FALSE,0.82
CUPE,2021,2021-05-26,principal,260720801A,Centro,2.31199229299342,2.78,TRUE,TRUE,TRUE,FALSE,2.78
CUPE,2021,2021-05-27,principal,260720801A,Centro,2.31199229299342,14.76,TRUE,TRUE,TRUE,FALSE,14.76
CUPE,2021,2021-05-28,principal,260720801A,Centro,2.31199229299342,23.22,TRUE,TRUE,TRUE,FALSE,23.22
CUPE,2021,2021-05-29,principal,260720801A,Centro,2.31199229299342,0.99,FALSE,TRUE,TRUE,FALSE,
CUPE,2021,2021-05-30,principal,260720801A,Centro,2.31199229299342,21.28,TRUE,TRUE,TRUE,FALSE,21.28
CUPE,2021,2021-05-31,principal,260720801A,Centro,2.31199229299342,7.71,FALSE,TRUE,TRUE,FALSE,
CUPE,2021,2021-06-01,principal,260720801A,Centro,2.31199229299342,0.6,TRUE,TRUE,TRUE,FALSE,0.6
CUPE,2021,2021-06-02,principal,260720801A,Centro,2.31199229299342,2.75,TRUE,TRUE,TRUE,FALSE,2.75
CUPE,2021,2021-06-03,principal,260720801A,Centro,2.31199229299342,12.79,TRUE,TRUE,TRUE,FALSE,12.79
CUPE,2021,2021-06-04,principal,260720801A,Centro,2.31199229299342,8.47,TRUE,TRUE,TRUE,FALSE,8.47
CUPE,2021,2021-06-05,principal,260720801A,Centro,2.31199229299342,4.54,TRUE,TRUE,TRUE,FALSE,4.54
CUPE,2021,2021-06-06,principal,260720801A,Centro,2.31199229299342,7.29,TRUE,TRUE,TRUE,FALSE,7.29
CUPE,2021,2021-06-07,principal,260720801A,Centro,2.31199229299342,5.9,TRUE,TRUE,TRUE,FALSE,5.9
CUPE,2021,2021-06-08,principal,260720801A,Centro,2.31199229299342,4.93,FALSE,TRUE,TRUE,FALSE,
CUPE,2021,2021-06-09,principal,260720801A,Centro,2.31199229299342,0.6,TRUE,TRUE,TRUE,FALSE,0.6
CUPE,2021,2021-06-10,principal,260720801A,Centro,2.31199229299342,4.73,TRUE,TRUE,TRUE,FALSE,4.73
CUPE,2021,2021-06-11,principal,260720801A,Centro,2.31199229299342,0.2,TRUE,TRUE,TRUE,FALSE,0.2
CUPE,2021,2021-06-12,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-06-13,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-06-14,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-06-15,principal,260720801A,Centro,2.31199229299342,2.97,TRUE,TRUE,TRUE,FALSE,2.97
CUPE,2021,2021-06-16,principal,260720801A,Centro,2.31199229299342,2.17,TRUE,TRUE,TRUE,FALSE,2.17
CUPE,2021,2021-06-17,principal,260720801A,Centro,2.31199229299342,4.53,FALSE,FALSE,TRUE,FALSE,
CUPE,2021,2021-06-18,principal,260720801A,Centro,2.31199229299342,15.77,TRUE,TRUE,TRUE,FALSE,15.77
CUPE,2021,2021-06-19,principal,260720801A,Centro,2.31199229299342,15.18,TRUE,TRUE,TRUE,FALSE,15.18
CUPE,2021,2021-06-20,principal,260720801A,Centro,2.31199229299342,2.38,TRUE,TRUE,TRUE,FALSE,2.38
CUPE,2021,2021-06-21,principal,260720801A,Centro,2.31199229299342,0.4,TRUE,TRUE,TRUE,FALSE,0.4
CUPE,2021,2021-06-22,principal,260720801A,Centro,2.31199229299342,2.16,FALSE,FALSE,FALSE,FALSE,
CUPE,2021,2021-06-23,principal,260720801A,Centro,2.31199229299342,1.97,TRUE,TRUE,TRUE,FALSE,1.97
CUPE,2021,2021-06-24,principal,260720801A,Centro,2.31199229299342,29.35,TRUE,TRUE,TRUE,FALSE,29.35
CUPE,2021,2021-06-25,principal,260720801A,Centro,2.31199229299342,1.78,TRUE,TRUE,TRUE,FALSE,1.78
CUPE,2021,2021-06-26,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-06-27,principal,260720801A,Centro,2.31199229299342,4.76,FALSE,FALSE,TRUE,FALSE,
CUPE,2021,2021-06-28,principal,260720801A,Centro,2.31199229299342,1.57,TRUE,TRUE,TRUE,FALSE,1.57
CUPE,2021,2021-06-29,principal,260720801A,Centro,2.31199229299342,1.19,TRUE,TRUE,TRUE,FALSE,1.19
CUPE,2021,2021-06-30,principal,260720801A,Centro,2.31199229299342,24.84,TRUE,TRUE,TRUE,FALSE,24.84
CUPE,2021,2021-07-01,principal,260720801A,Centro,2.31199229299342,11.44,TRUE,TRUE,TRUE,FALSE,11.44
CUPE,2021,2021-07-02,principal,260720801A,Centro,2.31199229299342,11.63,TRUE,TRUE,TRUE,FALSE,11.63
CUPE,2021,2021-07-03,principal,260720801A,Centro,2.31199229299342,2.61,TRUE,TRUE,TRUE,FALSE,2.61
CUPE,2021,2021-07-04,principal,260720801A,Centro,2.31199229299342,0.2,TRUE,TRUE,TRUE,FALSE,0.2
CUPE,2021,2021-07-05,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-07-06,principal,260720801A,Centro,2.31199229299342,0,FALSE,FALSE,FALSE,FALSE,
CUPE,2021,2021-07-07,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-07-08,principal,260720801A,Centro,2.31199229299342,14.83,TRUE,TRUE,TRUE,FALSE,14.83
CUPE,2021,2021-07-09,principal,260720801A,Centro,2.31199229299342,3.56,TRUE,TRUE,TRUE,FALSE,3.56
CUPE,2021,2021-07-10,principal,260720801A,Centro,2.31199229299342,10.07,TRUE,TRUE,TRUE,FALSE,10.07
CUPE,2021,2021-07-11,principal,260720801A,Centro,2.31199229299342,3.75,TRUE,TRUE,TRUE,FALSE,3.75
CUPE,2021,2021-07-12,principal,260720801A,Centro,2.31199229299342,0.78,TRUE,TRUE,TRUE,FALSE,0.78
CUPE,2021,2021-07-13,principal,260720801A,Centro,2.31199229299342,0.2,TRUE,TRUE,TRUE,FALSE,0.2
CUPE,2021,2021-07-14,principal,260720801A,Centro,2.31199229299342,6.1,TRUE,TRUE,TRUE,FALSE,6.1
CUPE,2021,2021-07-15,principal,260720801A,Centro,2.31199229299342,2.38,TRUE,TRUE,TRUE,FALSE,2.38
CUPE,2021,2021-07-16,principal,260720801A,Centro,2.31199229299342,24.2,TRUE,TRUE,TRUE,FALSE,24.2
CUPE,2021,2021-07-17,principal,260720801A,Centro,2.31199229299342,2.18,TRUE,TRUE,TRUE,FALSE,2.18
CUPE,2021,2021-07-18,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-07-19,principal,260720801A,Centro,2.31199229299342,4.35,TRUE,TRUE,TRUE,FALSE,4.35
CUPE,2021,2021-07-20,principal,260720801A,Centro,2.31199229299342,4.54,TRUE,TRUE,TRUE,FALSE,4.54
CUPE,2021,2021-07-21,principal,260720801A,Centro,2.31199229299342,14.19,TRUE,TRUE,TRUE,FALSE,14.19
CUPE,2021,2021-07-22,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-07-23,principal,260720801A,Centro,2.31199229299342,21.94,TRUE,TRUE,TRUE,FALSE,21.94
CUPE,2021,2021-07-24,principal,260720801A,Centro,2.31199229299342,10.66,TRUE,TRUE,TRUE,FALSE,10.66
CUPE,2021,2021-07-25,principal,260720801A,Centro,2.31199229299342,12.45,TRUE,TRUE,TRUE,FALSE,12.45
CUPE,2021,2021-07-26,principal,260720801A,Centro,2.31199229299342,7.34,TRUE,TRUE,TRUE,FALSE,7.34
CUPE,2021,2021-07-27,principal,260720801A,Centro,2.31199229299342,3.74,TRUE,TRUE,TRUE,FALSE,3.74
CUPE,2021,2021-07-28,principal,260720801A,Centro,2.31199229299342,0.2,TRUE,TRUE,TRUE,FALSE,0.2
CUPE,2021,2021-07-29,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-07-30,principal,260720801A,Centro,2.31199229299342,0,TRUE,TRUE,TRUE,FALSE,0
CUPE,2021,2021-07-31,principal,260720801A,Centro,2.31199229299342,21.63,TRUE,TRUE,TRUE,FALSE,21.63
CUPE,2021,2021-08-01,principal,260720801A,Centro,2.31199229299342,4.98,TRUE,TRUE,TRUE,FALSE,4.98
CUPE,2021,2021-08-02,principal,260720801A,Centro,2.31199229299342,13.41,TRUE,TRUE,TRUE,FALSE,13.41
CUPE,2021,2021-08-03,principal,260720801A,Centro,2.31199229299342,31.9,TRUE,TRUE,TRUE,FALSE,31.9
CUPE,2021,2021-08-04,principal,260720801A,Centro,2.31199229299342,20.48,TRUE,TRUE,TRUE,FALSE,20.48
CUPE,2021,2021-08-05,principal,260720801A,Centro,2.31199229299342,15.76,TRUE,TRUE,TRUE,FALSE,15.76
CUPE,2021,2021-08-06,principal,260720801A,Centro,2.31199229299342,4.93,TRUE,TRUE,TRUE,FALSE,4.93
CUPE,2021,2021-08-07,principal,260720801A,Centro,2.31199229299342,2.96,TRUE,TRUE,TRUE,FALSE,2.96
CUPE,2021,2021-08-08,principal,260720801A,Centro,2.31199229299342,3.34,TRUE,TRUE,TRUE,FALSE,3.34
